"Step","neutral_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"0","-1263033.4322421693","-1263033.4322421693","-1263033.4322421693","-1217900.5645331","-1217900.5645331","-1217900.5645331"
"1","-1256009.88725864","-1256009.88725864","-1256009.88725864","-1281176.288722286","-1281176.288722286","-1281176.288722286"
"2","-1246821.6174690004","-1246821.6174690004","-1246821.6174690004","-1299457.649998465","-1299457.649998465","-1299457.649998465"
"3","-1255888.3592006094","-1255888.3592006094","-1255888.3592006094","-1322789.1849929614","-1322789.1849929614","-1322789.1849929614"
"4","-1260654.503028368","-1260654.503028368","-1260654.503028368","-1335436.7883547735","-1335436.7883547735","-1335436.7883547735"
"5","-1253961.0480658573","-1253961.0480658573","-1253961.0480658573","-1332528.1547255728","-1332528.1547255728","-1332528.1547255728"
"6","-1262226.6648021962","-1262226.6648021962","-1262226.6648021962","-1326403.4525656735","-1326403.4525656735","-1326403.4525656735"
"7","-1258636.3022029547","-1258636.3022029547","-1258636.3022029547","-1327229.8760850874","-1327229.8760850874","-1327229.8760850874"
"8","-1259425.681979735","-1259425.681979735","-1259425.681979735","-1321509.9556011052","-1321509.9556011052","-1321509.9556011052"
"9","-1253440.5872721947","-1253440.5872721947","-1253440.5872721947","-1324239.997982841","-1324239.997982841","-1324239.997982841"
"10","-1251361.8200734833","-1251361.8200734833","-1251361.8200734833","-1322825.8695112728","-1322825.8695112728","-1322825.8695112728"
"11","-1247254.6338236583","-1247254.6338236583","-1247254.6338236583","-1313480.4851354223","-1313480.4851354223","-1313480.4851354223"
"12","-1247073.2338969973","-1247073.2338969973","-1247073.2338969973","-1308194.8631128927","-1308194.8631128927","-1308194.8631128927"
"13","-1249698.0000698469","-1249698.0000698469","-1249698.0000698469","-1298943.6760473668","-1298943.6760473668","-1298943.6760473668"
"14","-1252078.0762008992","-1252078.0762008992","-1252078.0762008992","-1293425.3723616384","-1293425.3723616384","-1293425.3723616384"
"15","-1254889.9319018784","-1254889.9319018784","-1254889.9319018784","-1287322.3632316869","-1287322.3632316869","-1287322.3632316869"
"16","-1252328.327127031","-1252328.327127031","-1252328.327127031","-1284480.2133200339","-1284480.2133200339","-1284480.2133200339"
"17","-1253878.0661864837","-1253878.0661864837","-1253878.0661864837","-1284385.5692761021","-1284385.5692761021","-1284385.5692761021"
"18","-1254925.566917301","-1254925.566917301","-1254925.566917301","-1282477.703077358","-1282477.703077358","-1282477.703077358"
"19","-1256217.0558859338","-1256217.0558859338","-1256217.0558859338","-1283479.514497452","-1283479.514497452","-1283479.514497452"
"20","-1256046.8495714047","-1256046.8495714047","-1256046.8495714047","-1284829.758240552","-1284829.758240552","-1284829.758240552"
"21","-1256399.7313908515","-1256399.7313908515","-1256399.7313908515","-1287163.9884968596","-1287163.9884968596","-1287163.9884968596"
"22","-1255729.09788657","-1255729.09788657","-1255729.09788657","-1290082.56961665","-1290082.56961665","-1290082.56961665"
"23","-1257100.0293056432","-1257100.0293056432","-1257100.0293056432","-1291790.151984975","-1291790.151984975","-1291790.151984975"
"24","-1257084.949391997","-1257084.949391997","-1257084.949391997","-1293632.343877112","-1293632.343877112","-1293632.343877112"
"25","-1257249.8017498543","-1257249.8017498543","-1257249.8017498543","-1296158.237409557","-1296158.237409557","-1296158.237409557"
"26","-1258663.1249770988","-1258663.1249770988","-1258663.1249770988","-1299583.0198000844","-1299583.0198000844","-1299583.0198000844"
"27","-1260042.8430342234","-1260042.8430342234","-1260042.8430342234","-1301743.935655862","-1301743.935655862","-1301743.935655862"
"28","-1259822.0079098507","-1259822.0079098507","-1259822.0079098507","-1305396.9399509577","-1305396.9399509577","-1305396.9399509577"
"29","-1258305.6070022625","-1258305.6070022625","-1258305.6070022625","-1306609.2064652962","-1306609.2064652962","-1306609.2064652962"
"30","-1259312.2770274512","-1259312.2770274512","-1259312.2770274512","-1307287.2593965016","-1307287.2593965016","-1307287.2593965016"
"31","-1260310.2538192864","-1260310.2538192864","-1260310.2538192864","-1308989.4254835846","-1308989.4254835846","-1308989.4254835846"
"32","-1263351.492749496","-1263351.492749496","-1263351.492749496","-1309203.1022747066","-1309203.1022747066","-1309203.1022747066"
"33","-1265184.9373812652","-1265184.9373812652","-1265184.9373812652","-1309453.9203792375","-1309453.9203792375","-1309453.9203792375"
"34","-1264824.8334098305","-1264824.8334098305","-1264824.8334098305","-1309793.5305675652","-1309793.5305675652","-1309793.5305675652"
"35","-1266087.3072732608","-1266087.3072732608","-1266087.3072732608","-1310006.9755314242","-1310006.9755314242","-1310006.9755314242"
"36","-1265980.2781564775","-1265980.2781564775","-1265980.2781564775","-1310948.3565689358","-1310948.3565689358","-1310948.3565689358"
"37","-1266865.344855049","-1266865.344855049","-1266865.344855049","-1313210.441775079","-1313210.441775079","-1313210.441775079"
"38","-1266945.1890375693","-1266945.1890375693","-1266945.1890375693","-1313934.2170028626","-1313934.2170028626","-1313934.2170028626"
"39","-1267197.6517260843","-1267197.6517260843","-1267197.6517260843","-1316656.9723566582","-1316656.9723566582","-1316656.9723566582"
"40","-1266983.8158274132","-1266983.8158274132","-1266983.8158274132","-1318889.5332476723","-1318889.5332476723","-1318889.5332476723"
"41","-1267571.434548012","-1267571.434548012","-1267571.434548012","-1320044.5018490315","-1320044.5018490315","-1320044.5018490315"
"42","-1267616.7372540599","-1267616.7372540599","-1267616.7372540599","-1316735.25561366","-1316735.25561366","-1316735.25561366"
"43","-1267665.628025633","-1267665.628025633","-1267665.628025633","-1313303.027024399","-1313303.027024399","-1313303.027024399"
"44","-1268381.9806220667","-1268381.9806220667","-1268381.9806220667","-1308985.6066423794","-1308985.6066423794","-1308985.6066423794"
"45","-1266902.0486730903","-1266902.0486730903","-1266902.0486730903","-1304608.4242325753","-1304608.4242325753","-1304608.4242325753"
"46","-1266981.6847531758","-1266981.6847531758","-1266981.6847531758","-1300270.4275792153","-1300270.4275792153","-1300270.4275792153"
"47","-1267540.4057529022","-1267540.4057529022","-1267540.4057529022","-1295853.0459115629","-1295853.0459115629","-1295853.0459115629"
"48","-1268281.6371975613","-1268281.6371975613","-1268281.6371975613","-1291636.5145631535","-1291636.5145631535","-1291636.5145631535"
"49","-1269219.6782950806","-1269219.6782950806","-1269219.6782950806","-1288186.8705387942","-1288186.8705387942","-1288186.8705387942"
"50","-1268926.6961293567","-1268926.6961293567","-1268926.6961293567","-1283836.1759609748","-1283836.1759609748","-1283836.1759609748"
"51","-1269111.724092138","-1269111.724092138","-1269111.724092138","-1279593.6580467513","-1279593.6580467513","-1279593.6580467513"
"52","-1269691.38448827","-1269691.38448827","-1269691.38448827","-1276698.1237550962","-1276698.1237550962","-1276698.1237550962"
"53","-1270614.4862808601","-1270614.4862808601","-1270614.4862808601","-1273221.6652706095","-1273221.6652706095","-1273221.6652706095"
"54","-1270091.2121795965","-1270091.2121795965","-1270091.2121795965","-1269476.4314732905","-1269476.4314732905","-1269476.4314732905"
"55","-1270005.9631602895","-1270005.9631602895","-1270005.9631602895","-1265138.6686303637","-1265138.6686303637","-1265138.6686303637"
"56","-1270701.005333283","-1270701.005333283","-1270701.005333283","-1262029.1304649622","-1262029.1304649622","-1262029.1304649622"
"57","-1270629.3864556535","-1270629.3864556535","-1270629.3864556535","-1258932.4839644781","-1258932.4839644781","-1258932.4839644781"
"58","-1271035.6200749213","-1271035.6200749213","-1271035.6200749213","-1254237.1787392357","-1254237.1787392357","-1254237.1787392357"
"59","-1270538.0282678255","-1270538.0282678255","-1270538.0282678255","-1250615.3969358196","-1250615.3969358196","-1250615.3969358196"
"60","-1270714.594816249","-1270714.594816249","-1270714.594816249","-1247770.8393593382","-1247770.8393593382","-1247770.8393593382"
"61","-1269982.4568806053","-1269982.4568806053","-1269982.4568806053","-1243905.9564406874","-1243905.9564406874","-1243905.9564406874"
"62","-1269789.9150944077","-1269789.9150944077","-1269789.9150944077","-1239862.2885520475","-1239862.2885520475","-1239862.2885520475"
"63","-1270284.3880074006","-1270284.3880074006","-1270284.3880074006","-1237008.5928927325","-1237008.5928927325","-1237008.5928927325"
"64","-1271286.4809649352","-1271286.4809649352","-1271286.4809649352","-1234684.9094364122","-1234684.9094364122","-1234684.9094364122"
"65","-1270880.0378510128","-1270880.0378510128","-1270880.0378510128","-1232108.861094912","-1232108.861094912","-1232108.861094912"
"66","-1271302.0226679526","-1271302.0226679526","-1271302.0226679526","-1229115.823237462","-1229115.823237462","-1229115.823237462"
"67","-1270905.3512479637","-1270905.3512479637","-1270905.3512479637","-1226385.9013003916","-1226385.9013003916","-1226385.9013003916"
"68","-1270335.2573514474","-1270335.2573514474","-1270335.2573514474","-1223488.7647777274","-1223488.7647777274","-1223488.7647777274"
"69","-1269891.0971196988","-1269891.0971196988","-1269891.0971196988","-1221566.54808487","-1221566.54808487","-1221566.54808487"
"70","-1269676.2873246497","-1269676.2873246497","-1269676.2873246497","-1219755.5440865748","-1219755.5440865748","-1219755.5440865748"
"71","-1269911.909911456","-1269911.909911456","-1269911.909911456","-1218294.6357638158","-1218294.6357638158","-1218294.6357638158"
"72","-1269158.127725127","-1269158.127725127","-1269158.127725127","-1216563.4243001898","-1216563.4243001898","-1216563.4243001898"
"73","-1269225.0339124524","-1269225.0339124524","-1269225.0339124524","-1214975.6743536266","-1214975.6743536266","-1214975.6743536266"
"74","-1269330.473033073","-1269330.473033073","-1269330.473033073","-1213714.0382784759","-1213714.0382784759","-1213714.0382784759"
"75","-1269184.3654616633","-1269184.3654616633","-1269184.3654616633","-1212819.0668215926","-1212819.0668215926","-1212819.0668215926"
"76","-1268169.2544944324","-1268169.2544944324","-1268169.2544944324","-1211136.7535561034","-1211136.7535561034","-1211136.7535561034"
"77","-1268174.5861183235","-1268174.5861183235","-1268174.5861183235","-1209316.4346862878","-1209316.4346862878","-1209316.4346862878"
"78","-1268680.011906653","-1268680.011906653","-1268680.011906653","-1207762.2276718742","-1207762.2276718742","-1207762.2276718742"
"79","-1268381.94871196","-1268381.94871196","-1268381.94871196","-1206453.9900138993","-1206453.9900138993","-1206453.9900138993"
"80","-1268524.7573278714","-1268524.7573278714","-1268524.7573278714","-1205038.3975969802","-1205038.3975969802","-1205038.3975969802"
"81","-1268175.68888637","-1268175.68888637","-1268175.68888637","-1203693.5174003919","-1203693.5174003919","-1203693.5174003919"
"82","-1268226.7752474346","-1268226.7752474346","-1268226.7752474346","-1202530.45796306","-1202530.45796306","-1202530.45796306"
"83","-1268614.6780040725","-1268614.6780040725","-1268614.6780040725","-1200824.0836780122","-1200824.0836780122","-1200824.0836780122"
"84","-1268790.1947079164","-1268790.1947079164","-1268790.1947079164","-1199753.913029986","-1199753.913029986","-1199753.913029986"
"85","-1269042.4554591512","-1269042.4554591512","-1269042.4554591512","-1198909.4018202333","-1198909.4018202333","-1198909.4018202333"
"86","-1268860.7770699202","-1268860.7770699202","-1268860.7770699202","-1197731.4423649905","-1197731.4423649905","-1197731.4423649905"
"87","-1269318.9064795652","-1269318.9064795652","-1269318.9064795652","-1196410.2038646587","-1196410.2038646587","-1196410.2038646587"
"88","-1269226.1733724722","-1269226.1733724722","-1269226.1733724722","-1195092.317761604","-1195092.317761604","-1195092.317761604"
"89","-1268834.8567284255","-1268834.8567284255","-1268834.8567284255","-1193976.3840512983","-1193976.3840512983","-1193976.3840512983"
"90","-1268729.3073241669","-1268729.3073241669","-1268729.3073241669","-1192295.224230689","-1192295.224230689","-1192295.224230689"
"91","-1268593.2056514279","-1268593.2056514279","-1268593.2056514279","-1191803.062324395","-1191803.062324395","-1191803.062324395"
"92","-1268563.977435369","-1268563.977435369","-1268563.977435369","-1190638.2701153078","-1190638.2701153078","-1190638.2701153078"
"93","-1268493.4071750462","-1268493.4071750462","-1268493.4071750462","-1189759.9527935656","-1189759.9527935656","-1189759.9527935656"
"94","-1268701.5758921795","-1268701.5758921795","-1268701.5758921795","-1188581.992628109","-1188581.992628109","-1188581.992628109"
"95","-1268950.9732030062","-1268950.9732030062","-1268950.9732030062","-1187437.8223562974","-1187437.8223562974","-1187437.8223562974"
"96","-1268551.6240060462","-1268551.6240060462","-1268551.6240060462","-1185886.960285059","-1185886.960285059","-1185886.960285059"
"97","-1267951.5553495968","-1267951.5553495968","-1267951.5553495968","-1184700.6681589403","-1184700.6681589403","-1184700.6681589403"
"98","-1267831.8857907862","-1267831.8857907862","-1267831.8857907862","-1183483.4116304503","-1183483.4116304503","-1183483.4116304503"
"99","-1267841.8680626934","-1267841.8680626934","-1267841.8680626934","-1181962.1753282526","-1181962.1753282526","-1181962.1753282526"
"100","-1266956.2169953752","-1266956.2169953752","-1266956.2169953752","-1181035.841069794","-1181035.841069794","-1181035.841069794"
"101","-1267980.8196657484","-1267980.8196657484","-1267980.8196657484","-1179974.7977549871","-1179974.7977549871","-1179974.7977549871"
"102","-1268664.0822663135","-1268664.0822663135","-1268664.0822663135","-1178933.9503056055","-1178933.9503056055","-1178933.9503056055"
"103","-1268308.6792716144","-1268308.6792716144","-1268308.6792716144","-1178137.8207216763","-1178137.8207216763","-1178137.8207216763"
"104","-1268210.3563855132","-1268210.3563855132","-1268210.3563855132","-1176480.310906047","-1176480.310906047","-1176480.310906047"
"105","-1268227.0018073102","-1268227.0018073102","-1268227.0018073102","-1175655.097641531","-1175655.097641531","-1175655.097641531"
"106","-1268419.3742646782","-1268419.3742646782","-1268419.3742646782","-1174908.7809346046","-1174908.7809346046","-1174908.7809346046"
"107","-1268526.158281879","-1268526.158281879","-1268526.158281879","-1173856.131111885","-1173856.131111885","-1173856.131111885"
"108","-1268528.3848588688","-1268528.3848588688","-1268528.3848588688","-1172980.0592354483","-1172980.0592354483","-1172980.0592354483"
"109","-1268648.8668614975","-1268648.8668614975","-1268648.8668614975","-1171754.3712384945","-1171754.3712384945","-1171754.3712384945"
"110","-1268711.607255395","-1268711.607255395","-1268711.607255395","-1170576.6981808874","-1170576.6981808874","-1170576.6981808874"
"111","-1268718.1281693701","-1268718.1281693701","-1268718.1281693701","-1170004.9415157149","-1170004.9415157149","-1170004.9415157149"
"112","-1268532.6732261635","-1268532.6732261635","-1268532.6732261635","-1169383.659008437","-1169383.659008437","-1169383.659008437"
"113","-1268105.3765966801","-1268105.3765966801","-1268105.3765966801","-1168659.0982660283","-1168659.0982660283","-1168659.0982660283"
"114","-1268982.0249149979","-1268982.0249149979","-1268982.0249149979","-1167858.9887256273","-1167858.9887256273","-1167858.9887256273"
"115","-1269186.3836422362","-1269186.3836422362","-1269186.3836422362","-1167011.2868792939","-1167011.2868792939","-1167011.2868792939"
"116","-1269472.530301021","-1269472.530301021","-1269472.530301021","-1165664.3672478746","-1165664.3672478746","-1165664.3672478746"
"117","-1269188.1893004694","-1269188.1893004694","-1269188.1893004694","-1164778.8580014356","-1164778.8580014356","-1164778.8580014356"
"118","-1268941.6951551647","-1268941.6951551647","-1268941.6951551647","-1164063.843783843","-1164063.843783843","-1164063.843783843"
"119","-1269031.274816413","-1269031.274816413","-1269031.274816413","-1163155.8595716425","-1163155.8595716425","-1163155.8595716425"
"120","-1269100.140416728","-1269100.140416728","-1269100.140416728","-1162525.5468290711","-1162525.5468290711","-1162525.5468290711"
"121","-1268676.7984438993","-1268676.7984438993","-1268676.7984438993","-1161464.1151391244","-1161464.1151391244","-1161464.1151391244"
"122","-1268829.7544356193","-1268829.7544356193","-1268829.7544356193","-1160721.3307332024","-1160721.3307332024","-1160721.3307332024"
"123","-1268742.639918978","-1268742.639918978","-1268742.639918978","-1160131.9820446072","-1160131.9820446072","-1160131.9820446072"
"124","-1268612.7124256867","-1268612.7124256867","-1268612.7124256867","-1159330.2865050256","-1159330.2865050256","-1159330.2865050256"
"125","-1269201.153980774","-1269201.153980774","-1269201.153980774","-1158861.7311323967","-1158861.7311323967","-1158861.7311323967"
"126","-1269715.9291553434","-1269715.9291553434","-1269715.9291553434","-1158161.397795542","-1158161.397795542","-1158161.397795542"
"127","-1269875.344869459","-1269875.344869459","-1269875.344869459","-1157262.118878698","-1157262.118878698","-1157262.118878698"
"128","-1270136.1266598012","-1270136.1266598012","-1270136.1266598012","-1156456.3222727925","-1156456.3222727925","-1156456.3222727925"
"129","-1269455.239956467","-1269455.239956467","-1269455.239956467","-1155606.025637555","-1155606.025637555","-1155606.025637555"
"130","-1269864.7969667532","-1269864.7969667532","-1269864.7969667532","-1155000.3395962983","-1155000.3395962983","-1155000.3395962983"
"131","-1270210.9466480145","-1270210.9466480145","-1270210.9466480145","-1154536.7298260909","-1154536.7298260909","-1154536.7298260909"
"132","-1270601.0285183","-1270601.0285183","-1270601.0285183","-1153744.0500257318","-1153744.0500257318","-1153744.0500257318"
"133","-1271354.70706426","-1271354.70706426","-1271354.70706426","-1153201.607456151","-1153201.607456151","-1153201.607456151"
"134","-1271468.831840716","-1271468.831840716","-1271468.831840716","-1152724.0270960203","-1152724.0270960203","-1152724.0270960203"
"135","-1271494.248769471","-1271494.248769471","-1271494.248769471","-1151661.672445356","-1151661.672445356","-1151661.672445356"
"136","-1271959.3269885725","-1271959.3269885725","-1271959.3269885725","-1151176.0634850373","-1151176.0634850373","-1151176.0634850373"
"137","-1272099.3546076193","-1272099.3546076193","-1272099.3546076193","-1150644.4476816845","-1150644.4476816845","-1150644.4476816845"
"138","-1272190.2655107465","-1272190.2655107465","-1272190.2655107465","-1150186.0727793877","-1150186.0727793877","-1150186.0727793877"
"139","-1272201.2833170923","-1272201.2833170923","-1272201.2833170923","-1149450.8965206582","-1149450.8965206582","-1149450.8965206582"
"140","-1272446.024274128","-1272446.024274128","-1272446.024274128","-1148766.724131901","-1148766.724131901","-1148766.724131901"
"141","-1272448.5707958261","-1272448.5707958261","-1272448.5707958261","-1147994.671390254","-1147994.671390254","-1147994.671390254"
"142","-1272299.459896462","-1272299.459896462","-1272299.459896462","-1147471.663048433","-1147471.663048433","-1147471.663048433"
"143","-1272423.5817445512","-1272423.5817445512","-1272423.5817445512","-1146486.746055591","-1146486.746055591","-1146486.746055591"
"144","-1272049.1321915477","-1272049.1321915477","-1272049.1321915477","-1145655.5024248345","-1145655.5024248345","-1145655.5024248345"
"145","-1272279.6305500919","-1272279.6305500919","-1272279.6305500919","-1145556.1068332864","-1145556.1068332864","-1145556.1068332864"
"146","-1271806.7113242273","-1271806.7113242273","-1271806.7113242273","-1145094.0243745535","-1145094.0243745535","-1145094.0243745535"
"147","-1272032.124770743","-1272032.124770743","-1272032.124770743","-1144275.10819039","-1144275.10819039","-1144275.10819039"
"148","-1272215.2927264858","-1272215.2927264858","-1272215.2927264858","-1143643.074849239","-1143643.074849239","-1143643.074849239"
"149","-1272196.170672449","-1272196.170672449","-1272196.170672449","-1143459.2472812238","-1143459.2472812238","-1143459.2472812238"
"150","-1272417.0368968204","-1272417.0368968204","-1272417.0368968204","-1142945.2986665755","-1142945.2986665755","-1142945.2986665755"
"151","-1272462.0352821394","-1272462.0352821394","-1272462.0352821394","-1142549.1143459138","-1142549.1143459138","-1142549.1143459138"
"152","-1272402.0834641194","-1272402.0834641194","-1272402.0834641194","-1141817.1361508851","-1141817.1361508851","-1141817.1361508851"
"153","-1272747.493172017","-1272747.493172017","-1272747.493172017","-1141178.3277788463","-1141178.3277788463","-1141178.3277788463"
"154","-1272919.0586160473","-1272919.0586160473","-1272919.0586160473","-1140857.9804702594","-1140857.9804702594","-1140857.9804702594"
"155","-1273120.6379894589","-1273120.6379894589","-1273120.6379894589","-1140429.9818241436","-1140429.9818241436","-1140429.9818241436"
"156","-1273280.9733049804","-1273280.9733049804","-1273280.9733049804","-1140315.808459839","-1140315.808459839","-1140315.808459839"
"157","-1273746.5840360138","-1273746.5840360138","-1273746.5840360138","-1139650.9037607235","-1139650.9037607235","-1139650.9037607235"
"158","-1273670.773294423","-1273670.773294423","-1273670.773294423","-1139091.0318383018","-1139091.0318383018","-1139091.0318383018"
"159","-1273674.0336128336","-1273674.0336128336","-1273674.0336128336","-1138445.713969005","-1138445.713969005","-1138445.713969005"
"160","-1273516.3740923763","-1273516.3740923763","-1273516.3740923763","-1138029.1101216883","-1138029.1101216883","-1138029.1101216883"
"161","-1273195.2862715446","-1273195.2862715446","-1273195.2862715446","-1137898.1630282763","-1137898.1630282763","-1137898.1630282763"
"162","-1273342.513053472","-1273342.513053472","-1273342.513053472","-1137485.0143529188","-1137485.0143529188","-1137485.0143529188"
"163","-1273258.492246361","-1273258.492246361","-1273258.492246361","-1137093.1426417322","-1137093.1426417322","-1137093.1426417322"
"164","-1273387.1409766267","-1273387.1409766267","-1273387.1409766267","-1136680.0667895495","-1136680.0667895495","-1136680.0667895495"
"165","-1273231.2483007528","-1273231.2483007528","-1273231.2483007528","-1136282.1343624238","-1136282.1343624238","-1136282.1343624238"
"166","-1273306.1017216127","-1273306.1017216127","-1273306.1017216127","-1135777.4381293277","-1135777.4381293277","-1135777.4381293277"
"167","-1273020.643222817","-1273020.643222817","-1273020.643222817","-1135232.2273544106","-1135232.2273544106","-1135232.2273544106"
"168","-1272936.4987829411","-1272936.4987829411","-1272936.4987829411","-1134637.6333185306","-1134637.6333185306","-1134637.6333185306"
"169","-1272757.9711228854","-1272757.9711228854","-1272757.9711228854","-1134365.0960884157","-1134365.0960884157","-1134365.0960884157"
"170","-1272912.9324222542","-1272912.9324222542","-1272912.9324222542","-1133667.0646161442","-1133667.0646161442","-1133667.0646161442"
"171","-1273101.012151525","-1273101.012151525","-1273101.012151525","-1133361.658486777","-1133361.658486777","-1133361.658486777"
"172","-1272879.2084165425","-1272879.2084165425","-1272879.2084165425","-1132970.9388571172","-1132970.9388571172","-1132970.9388571172"
"173","-1273017.5766057998","-1273017.5766057998","-1273017.5766057998","-1132516.9850834315","-1132516.9850834315","-1132516.9850834315"
"174","-1272844.7481324247","-1272844.7481324247","-1272844.7481324247","-1131993.585808888","-1131993.585808888","-1131993.585808888"
"175","-1272773.1271923906","-1272773.1271923906","-1272773.1271923906","-1131557.359571685","-1131557.359571685","-1131557.359571685"
"176","-1272614.712626714","-1272614.712626714","-1272614.712626714","-1131300.3073622407","-1131300.3073622407","-1131300.3073622407"
"177","-1272523.2491193265","-1272523.2491193265","-1272523.2491193265","-1130880.9955528714","-1130880.9955528714","-1130880.9955528714"
"178","-1272439.7939200979","-1272439.7939200979","-1272439.7939200979","-1130402.2089501068","-1130402.2089501068","-1130402.2089501068"
"179","-1272363.796501311","-1272363.796501311","-1272363.796501311","-1130191.600426442","-1130191.600426442","-1130191.600426442"
"180","-1272178.2454496215","-1272178.2454496215","-1272178.2454496215","-1129787.561796591","-1129787.561796591","-1129787.561796591"
"181","-1271709.108038466","-1271709.108038466","-1271709.108038466","-1129048.424912136","-1129048.424912136","-1129048.424912136"
"182","-1271696.1427019252","-1271696.1427019252","-1271696.1427019252","-1128575.3299889397","-1128575.3299889397","-1128575.3299889397"
"183","-1271494.9304082887","-1271494.9304082887","-1271494.9304082887","-1128022.5849047794","-1128022.5849047794","-1128022.5849047794"
"184","-1271660.2551983732","-1271660.2551983732","-1271660.2551983732","-1127489.8639712632","-1127489.8639712632","-1127489.8639712632"
"185","-1271693.0092814432","-1271693.0092814432","-1271693.0092814432","-1127222.7557594287","-1127222.7557594287","-1127222.7557594287"
"186","-1271994.333990484","-1271994.333990484","-1271994.333990484","-1127112.473110803","-1127112.473110803","-1127112.473110803"
"187","-1271661.1921478505","-1271661.1921478505","-1271661.1921478505","-1126880.669719532","-1126880.669719532","-1126880.669719532"
"188","-1271555.1417678471","-1271555.1417678471","-1271555.1417678471","-1126598.2955564482","-1126598.2955564482","-1126598.2955564482"
"189","-1271210.3986460764","-1271210.3986460764","-1271210.3986460764","-1125992.2850676377","-1125992.2850676377","-1125992.2850676377"
"190","-1271161.2502843316","-1271161.2502843316","-1271161.2502843316","-1125735.9299191674","-1125735.9299191674","-1125735.9299191674"
"191","-1271022.530222404","-1271022.530222404","-1271022.530222404","-1125461.0590194918","-1125461.0590194918","-1125461.0590194918"
"192","-1271193.3268245608","-1271193.3268245608","-1271193.3268245608","-1125218.327279723","-1125218.327279723","-1125218.327279723"
"193","","","","-1124726.5587736168","-1124726.5587736168","-1124726.5587736168"