"Step","receptive_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"0","-731707.3672493383","-731707.3672493383","-731707.3672493383","-735272.874147023","-735272.874147023","-735272.874147023"
"1","-720682.6630795808","-720682.6630795808","-720682.6630795808","-732972.2331287051","-732972.2331287051","-732972.2331287051"
"2","-705396.8440346994","-705396.8440346994","-705396.8440346994","-738592.1742997296","-738592.1742997296","-738592.1742997296"
"3","-703582.2248977365","-703582.2248977365","-703582.2248977365","-730693.8764274174","-730693.8764274174","-730693.8764274174"
"4","-707830.9130452577","-707830.9130452577","-707830.9130452577","-734667.5956410784","-734667.5956410784","-734667.5956410784"
"5","-716937.3421248724","-716937.3421248724","-716937.3421248724","-726939.9424801298","-726939.9424801298","-726939.9424801298"
"6","-724153.3996181014","-724153.3996181014","-724153.3996181014","-725401.9816989058","-725401.9816989058","-725401.9816989058"
"7","-724722.9565796335","-724722.9565796335","-724722.9565796335","-722497.353400075","-722497.353400075","-722497.353400075"
"8","-730834.8314170158","-730834.8314170158","-730834.8314170158","-716164.6172638022","-716164.6172638022","-716164.6172638022"
"9","-729527.1880679965","-729527.1880679965","-729527.1880679965","-707282.0904298153","-707282.0904298153","-707282.0904298153"
"10","-725878.7332623194","-725878.7332623194","-725878.7332623194","-701951.0178882797","-701951.0178882797","-701951.0178882797"
"11","-717634.1316775352","-717634.1316775352","-717634.1316775352","-695812.1748907245","-695812.1748907245","-695812.1748907245"
"12","-721608.7366185085","-721608.7366185085","-721608.7366185085","-692625.5242903247","-692625.5242903247","-692625.5242903247"
"13","-725525.8816718665","-725525.8816718665","-725525.8816718665","-689426.357676939","-689426.357676939","-689426.357676939"
"14","-727778.4415483618","-727778.4415483618","-727778.4415483618","-683919.6292330024","-683919.6292330024","-683919.6292330024"
"15","-723519.3086375523","-723519.3086375523","-723519.3086375523","-684340.0906946607","-684340.0906946607","-684340.0906946607"
"16","-722472.3976518447","-722472.3976518447","-722472.3976518447","-679256.5845089997","-679256.5845089997","-679256.5845089997"
"17","-721337.6953560713","-721337.6953560713","-721337.6953560713","-673864.0880287316","-673864.0880287316","-673864.0880287316"
"18","-717906.9522944046","-717906.9522944046","-717906.9522944046","-671383.2968428467","-671383.2968428467","-671383.2968428467"
"19","-714881.0782607567","-714881.0782607567","-714881.0782607567","-669399.590931476","-669399.590931476","-669399.590931476"
"20","-717142.3206526064","-717142.3206526064","-717142.3206526064","-664768.5704779064","-664768.5704779064","-664768.5704779064"
"21","-715779.9879496451","-715779.9879496451","-715779.9879496451","-661530.7445780181","-661530.7445780181","-661530.7445780181"
"22","-716768.3266772999","-716768.3266772999","-716768.3266772999","-656926.5396154186","-656926.5396154186","-656926.5396154186"
"23","-719972.3764294594","-719972.3764294594","-719972.3764294594","-653540.5538257082","-653540.5538257082","-653540.5538257082"
"24","-718817.9573197573","-718817.9573197573","-718817.9573197573","-648691.6422190825","-648691.6422190825","-648691.6422190825"
"25","-718845.7910523621","-718845.7910523621","-718845.7910523621","-646146.8837716252","-646146.8837716252","-646146.8837716252"
"26","-717270.7657169045","-717270.7657169045","-717270.7657169045","-643569.3883436333","-643569.3883436333","-643569.3883436333"
"27","-717557.8489340361","-717557.8489340361","-717557.8489340361","-642095.9931664277","-642095.9931664277","-642095.9931664277"
"28","-718789.1354250284","-718789.1354250284","-718789.1354250284","-639241.7445058167","-639241.7445058167","-639241.7445058167"
"29","-717599.0150390366","-717599.0150390366","-717599.0150390366","-636915.47871232","-636915.47871232","-636915.47871232"
"30","-716719.4466646601","-716719.4466646601","-716719.4466646601","-635831.2489845828","-635831.2489845828","-635831.2489845828"
"31","-717283.1941040694","-717283.1941040694","-717283.1941040694","-634501.188481813","-634501.188481813","-634501.188481813"
"32","-719336.7235351803","-719336.7235351803","-719336.7235351803","-632548.1463278248","-632548.1463278248","-632548.1463278248"
"33","-718328.9935840642","-718328.9935840642","-718328.9935840642","-630918.1914529145","-630918.1914529145","-630918.1914529145"
"34","-718112.4959062802","-718112.4959062802","-718112.4959062802","-630551.5503696584","-630551.5503696584","-630551.5503696584"
"35","-717590.6341341308","-717590.6341341308","-717590.6341341308","-629841.3697280451","-629841.3697280451","-629841.3697280451"
"36","-717167.1825669826","-717167.1825669826","-717167.1825669826","-629352.0314963531","-629352.0314963531","-629352.0314963531"
"37","-717744.1091257026","-717744.1091257026","-717744.1091257026","-627804.963600602","-627804.963600602","-627804.963600602"
"38","-716331.4560234362","-716331.4560234362","-716331.4560234362","-625491.6885227882","-625491.6885227882","-625491.6885227882"
"39","-716620.1708722592","-716620.1708722592","-716620.1708722592","-624740.7980256611","-624740.7980256611","-624740.7980256611"
"40","-716613.7834224395","-716613.7834224395","-716613.7834224395","-623454.5629270136","-623454.5629270136","-623454.5629270136"
"41","-714755.2790706606","-714755.2790706606","-714755.2790706606","-621879.788632176","-621879.788632176","-621879.788632176"
"42","-712951.8330463663","-712951.8330463663","-712951.8330463663","-621430.8479775568","-621430.8479775568","-621430.8479775568"
"43","-712356.2491778583","-712356.2491778583","-712356.2491778583","-620665.8552649646","-620665.8552649646","-620665.8552649646"
"44","-711025.9257701","-711025.9257701","-711025.9257701","-618468.812265808","-618468.812265808","-618468.812265808"
"45","-711176.2729266654","-711176.2729266654","-711176.2729266654","-617832.0442271822","-617832.0442271822","-617832.0442271822"
"46","-710595.1731776353","-710595.1731776353","-710595.1731776353","-617083.803304198","-617083.803304198","-617083.803304198"
"47","-709782.9433876477","-709782.9433876477","-709782.9433876477","-615996.0662348403","-615996.0662348403","-615996.0662348403"
"48","-708937.3884527986","-708937.3884527986","-708937.3884527986","-615331.6008708803","-615331.6008708803","-615331.6008708803"
"49","-709608.573335974","-709608.573335974","-709608.573335974","-615416.7988387506","-615416.7988387506","-615416.7988387506"
"50","-709000.1320817415","-709000.1320817415","-709000.1320817415","-614440.2620023993","-614440.2620023993","-614440.2620023993"
"51","-708378.2131428763","-708378.2131428763","-708378.2131428763","-613964.2045475243","-613964.2045475243","-613964.2045475243"
"52","-708291.9555952258","-708291.9555952258","-708291.9555952258","-613180.9462235414","-613180.9462235414","-613180.9462235414"
"53","-709105.2894728841","-709105.2894728841","-709105.2894728841","-612383.1725404018","-612383.1725404018","-612383.1725404018"
"54","-708052.4124303568","-708052.4124303568","-708052.4124303568","-610729.258440263","-610729.258440263","-610729.258440263"
"55","-708310.4998438092","-708310.4998438092","-708310.4998438092","-610354.890600238","-610354.890600238","-610354.890600238"
"56","-707890.7217585357","-707890.7217585357","-707890.7217585357","-609169.5322654789","-609169.5322654789","-609169.5322654789"
"57","-708207.0186085947","-708207.0186085947","-708207.0186085947","-608933.2200206369","-608933.2200206369","-608933.2200206369"
"58","-709415.1555882756","-709415.1555882756","-709415.1555882756","-607911.8505313067","-607911.8505313067","-607911.8505313067"
"59","-708442.504652567","-708442.504652567","-708442.504652567","-608012.991145823","-608012.991145823","-608012.991145823"
"60","-708834.2531510027","-708834.2531510027","-708834.2531510027","-608026.9981489162","-608026.9981489162","-608026.9981489162"
"61","-709085.1226991127","-709085.1226991127","-709085.1226991127","-607562.7728917118","-607562.7728917118","-607562.7728917118"
"62","-708699.6053542504","-708699.6053542504","-708699.6053542504","-606432.928367691","-606432.928367691","-606432.928367691"
"63","-708567.3500041256","-708567.3500041256","-708567.3500041256","-606399.6887876395","-606399.6887876395","-606399.6887876395"
"64","-709550.7813104821","-709550.7813104821","-709550.7813104821","-605253.7551241533","-605253.7551241533","-605253.7551241533"
"65","-709863.2953267358","-709863.2953267358","-709863.2953267358","-604352.4680548364","-604352.4680548364","-604352.4680548364"
"66","-708804.4100695819","-708804.4100695819","-708804.4100695819","-603425.1912391054","-603425.1912391054","-603425.1912391054"
"67","-709413.6014465415","-709413.6014465415","-709413.6014465415","-602102.1490231523","-602102.1490231523","-602102.1490231523"
"68","-708592.5593884368","-708592.5593884368","-708592.5593884368","-602154.423375916","-602154.423375916","-602154.423375916"
"69","-708556.4627212874","-708556.4627212874","-708556.4627212874","-601515.3033126334","-601515.3033126334","-601515.3033126334"
"70","-707858.8829308552","-707858.8829308552","-707858.8829308552","-601107.077785252","-601107.077785252","-601107.077785252"
"71","-707760.312763775","-707760.312763775","-707760.312763775","-600459.5461843405","-600459.5461843405","-600459.5461843405"
"72","-706732.2365469564","-706732.2365469564","-706732.2365469564","-599492.3932514614","-599492.3932514614","-599492.3932514614"
"73","-707553.8173534842","-707553.8173534842","-707553.8173534842","-598917.0419602959","-598917.0419602959","-598917.0419602959"
"74","-706031.5872989692","-706031.5872989692","-706031.5872989692","-597962.31785545","-597962.31785545","-597962.31785545"
"75","-705132.6973860869","-705132.6973860869","-705132.6973860869","-597459.4857595008","-597459.4857595008","-597459.4857595008"
"76","-704554.9166415785","-704554.9166415785","-704554.9166415785","-597002.5863068857","-597002.5863068857","-597002.5863068857"
"77","-704329.8101427078","-704329.8101427078","-704329.8101427078","-597074.31789188","-597074.31789188","-597074.31789188"
"78","-704558.1260732854","-704558.1260732854","-704558.1260732854","-597503.0523694443","-597503.0523694443","-597503.0523694443"
"79","-702430.9988601387","-702430.9988601387","-702430.9988601387","-597054.0412503786","-597054.0412503786","-597054.0412503786"
"80","-701996.8268701187","-701996.8268701187","-701996.8268701187","-596637.5951495036","-596637.5951495036","-596637.5951495036"
"81","-701227.9934755646","-701227.9934755646","-701227.9934755646","-596103.192332298","-596103.192332298","-596103.192332298"
"82","-700466.0314393674","-700466.0314393674","-700466.0314393674","-595782.2729990861","-595782.2729990861","-595782.2729990861"
"83","-700383.385491964","-700383.385491964","-700383.385491964","-595345.4856331425","-595345.4856331425","-595345.4856331425"
"84","-700748.3792074538","-700748.3792074538","-700748.3792074538","-595295.8842723609","-595295.8842723609","-595295.8842723609"
"85","-700451.3813881588","-700451.3813881588","-700451.3813881588","-595254.744178832","-595254.744178832","-595254.744178832"
"86","-700662.6614343893","-700662.6614343893","-700662.6614343893","-594899.7897570832","-594899.7897570832","-594899.7897570832"
"87","-699916.6331992903","-699916.6331992903","-699916.6331992903","-595123.9238128838","-595123.9238128838","-595123.9238128838"
"88","-699652.280649763","-699652.280649763","-699652.280649763","-595121.2852763344","-595121.2852763344","-595121.2852763344"
"89","-699728.7371004578","-699728.7371004578","-699728.7371004578","-595244.8817759699","-595244.8817759699","-595244.8817759699"
"90","-699392.1060560303","-699392.1060560303","-699392.1060560303","-595019.4290632637","-595019.4290632637","-595019.4290632637"
"91","-699027.7180291299","-699027.7180291299","-699027.7180291299","-594630.719899063","-594630.719899063","-594630.719899063"
"92","-698481.0138529091","-698481.0138529091","-698481.0138529091","-594207.693333955","-594207.693333955","-594207.693333955"
"93","-697866.881133531","-697866.881133531","-697866.881133531","-594100.5153748444","-594100.5153748444","-594100.5153748444"
"94","-698422.3063899436","-698422.3063899436","-698422.3063899436","-593264.8775659971","-593264.8775659971","-593264.8775659971"
"95","-698278.0093392092","-698278.0093392092","-698278.0093392092","-592785.5947174717","-592785.5947174717","-592785.5947174717"
"96","-698303.8359284338","-698303.8359284338","-698303.8359284338","-592152.7840595812","-592152.7840595812","-592152.7840595812"
"97","-698073.1215853353","-698073.1215853353","-698073.1215853353","-592023.3613690641","-592023.3613690641","-592023.3613690641"
"98","-699045.315628214","-699045.315628214","-699045.315628214","-592287.6851878137","-592287.6851878137","-592287.6851878137"
"99","-699332.0340484658","-699332.0340484658","-699332.0340484658","-591603.615876582","-591603.615876582","-591603.615876582"
"100","-699169.691809349","-699169.691809349","-699169.691809349","-591735.7135337085","-591735.7135337085","-591735.7135337085"
"101","-698614.9918492126","-698614.9918492126","-698614.9918492126","-591533.9760975807","-591533.9760975807","-591533.9760975807"
"102","-699143.0908404528","-699143.0908404528","-699143.0908404528","-591315.4220311908","-591315.4220311908","-591315.4220311908"
"103","-698566.6368786787","-698566.6368786787","-698566.6368786787","-591379.1295292686","-591379.1295292686","-591379.1295292686"
"104","-698184.4305179969","-698184.4305179969","-698184.4305179969","-591197.164828431","-591197.164828431","-591197.164828431"
"105","-697786.2769938455","-697786.2769938455","-697786.2769938455","-591352.2515048387","-591352.2515048387","-591352.2515048387"
"106","-697652.488248533","-697652.488248533","-697652.488248533","-591236.7996378801","-591236.7996378801","-591236.7996378801"
"107","-697688.1024160552","-697688.1024160552","-697688.1024160552","-590742.8165615067","-590742.8165615067","-590742.8165615067"
"108","-697045.8036189071","-697045.8036189071","-697045.8036189071","-590966.3847369963","-590966.3847369963","-590966.3847369963"
"109","-696855.5793206452","-696855.5793206452","-696855.5793206452","-590548.1218754015","-590548.1218754015","-590548.1218754015"
"110","-696916.2244915114","-696916.2244915114","-696916.2244915114","-590416.4863827195","-590416.4863827195","-590416.4863827195"
"111","-697414.8133807725","-697414.8133807725","-697414.8133807725","-590617.158273169","-590617.158273169","-590617.158273169"
"112","-697334.6800231679","-697334.6800231679","-697334.6800231679","-590415.3128024302","-590415.3128024302","-590415.3128024302"
"113","-696991.2871743955","-696991.2871743955","-696991.2871743955","-589992.078420901","-589992.078420901","-589992.078420901"
"114","-697411.3145370265","-697411.3145370265","-697411.3145370265","-589733.3222587043","-589733.3222587043","-589733.3222587043"
"115","-697370.790160544","-697370.790160544","-697370.790160544","-589768.4207668275","-589768.4207668275","-589768.4207668275"
"116","-697862.4730608021","-697862.4730608021","-697862.4730608021","-589244.9175438998","-589244.9175438998","-589244.9175438998"
"117","-697867.9240635443","-697867.9240635443","-697867.9240635443","-589135.7418729616","-589135.7418729616","-589135.7418729616"
"118","-697529.5438427082","-697529.5438427082","-697529.5438427082","-589074.5193252682","-589074.5193252682","-589074.5193252682"
"119","-697833.768287354","-697833.768287354","-697833.768287354","-588541.0285638223","-588541.0285638223","-588541.0285638223"
"120","-697360.0042651894","-697360.0042651894","-697360.0042651894","-588434.3641682307","-588434.3641682307","-588434.3641682307"
"121","-696769.1248515522","-696769.1248515522","-696769.1248515522","-588089.0458373597","-588089.0458373597","-588089.0458373597"
"122","-696344.0620843685","-696344.0620843685","-696344.0620843685","-587974.3353920112","-587974.3353920112","-587974.3353920112"
"123","-696636.7319900469","-696636.7319900469","-696636.7319900469","-587958.2000295416","-587958.2000295416","-587958.2000295416"
"124","-696684.815983899","-696684.815983899","-696684.815983899","-587739.8490924132","-587739.8490924132","-587739.8490924132"
"125","-696806.3710170203","-696806.3710170203","-696806.3710170203","-587828.9043450148","-587828.9043450148","-587828.9043450148"
"126","-696804.097933817","-696804.097933817","-696804.097933817","-587703.605119925","-587703.605119925","-587703.605119925"
"127","-697015.5816141686","-697015.5816141686","-697015.5816141686","-587470.2913641034","-587470.2913641034","-587470.2913641034"
"128","-696896.6654849604","-696896.6654849604","-696896.6654849604","-586989.990309886","-586989.990309886","-586989.990309886"
"129","-697017.9070375204","-697017.9070375204","-697017.9070375204","-586673.2927619879","-586673.2927619879","-586673.2927619879"
"130","-696736.7359238889","-696736.7359238889","-696736.7359238889","-586368.9011293337","-586368.9011293337","-586368.9011293337"
"131","-696713.9219776238","-696713.9219776238","-696713.9219776238","-586296.2940887084","-586296.2940887084","-586296.2940887084"
"132","-696590.0950778695","-696590.0950778695","-696590.0950778695","-586367.1380855262","-586367.1380855262","-586367.1380855262"
"133","-696953.7919105114","-696953.7919105114","-696953.7919105114","-586205.8187961472","-586205.8187961472","-586205.8187961472"
"134","-696910.2244214256","-696910.2244214256","-696910.2244214256","-586319.8238705744","-586319.8238705744","-586319.8238705744"
"135","-696698.0896424026","-696698.0896424026","-696698.0896424026","-586174.6899231027","-586174.6899231027","-586174.6899231027"
"136","-696802.1965004313","-696802.1965004313","-696802.1965004313","-585929.455700001","-585929.455700001","-585929.455700001"
"137","-696872.8765859272","-696872.8765859272","-696872.8765859272","-585767.0598707071","-585767.0598707071","-585767.0598707071"
"138","-696486.7502634241","-696486.7502634241","-696486.7502634241","-585832.6945908263","-585832.6945908263","-585832.6945908263"
"139","-696665.3972464623","-696665.3972464623","-696665.3972464623","-585450.5230257097","-585450.5230257097","-585450.5230257097"
"140","-696249.747304039","-696249.747304039","-696249.747304039","-585301.639126298","-585301.639126298","-585301.639126298"
"141","-696217.3888681616","-696217.3888681616","-696217.3888681616","-585383.2387574904","-585383.2387574904","-585383.2387574904"
"142","-696011.0747629362","-696011.0747629362","-696011.0747629362","-585246.8525221156","-585246.8525221156","-585246.8525221156"
"143","-695777.1621692796","-695777.1621692796","-695777.1621692796","-585007.4697316554","-585007.4697316554","-585007.4697316554"
"144","-695955.5541116688","-695955.5541116688","-695955.5541116688","-585124.8104349561","-585124.8104349561","-585124.8104349561"
"145","-695755.8412897803","-695755.8412897803","-695755.8412897803","-585053.0304431646","-585053.0304431646","-585053.0304431646"
"146","-695765.400883224","-695765.400883224","-695765.400883224","-584894.9233672548","-584894.9233672548","-584894.9233672548"
"147","-695931.6255512763","-695931.6255512763","-695931.6255512763","-584570.7173529293","-584570.7173529293","-584570.7173529293"
"148","-695954.9809601962","-695954.9809601962","-695954.9809601962","-584306.0173309211","-584306.0173309211","-584306.0173309211"
"149","-696044.0634705692","-696044.0634705692","-696044.0634705692","-584453.419163686","-584453.419163686","-584453.419163686"
"150","-695907.4937906128","-695907.4937906128","-695907.4937906128","-584430.6132215048","-584430.6132215048","-584430.6132215048"
"151","-695882.8267319532","-695882.8267319532","-695882.8267319532","-584036.2210520329","-584036.2210520329","-584036.2210520329"
"152","-696231.2668557009","-696231.2668557009","-696231.2668557009","-584056.3822331289","-584056.3822331289","-584056.3822331289"
"153","-696130.2403962468","-696130.2403962468","-696130.2403962468","-583923.557712987","-583923.557712987","-583923.557712987"
"154","-696181.6341116121","-696181.6341116121","-696181.6341116121","-584249.1110448889","-584249.1110448889","-584249.1110448889"
"155","-696618.3288729199","-696618.3288729199","-696618.3288729199","-584196.3950481906","-584196.3950481906","-584196.3950481906"
"156","-696744.3658168628","-696744.3658168628","-696744.3658168628","-584192.505322692","-584192.505322692","-584192.505322692"
"157","-696887.2404399051","-696887.2404399051","-696887.2404399051","-584141.4961299547","-584141.4961299547","-584141.4961299547"
"158","-696979.3109671862","-696979.3109671862","-696979.3109671862","-583663.2646679874","-583663.2646679874","-583663.2646679874"
"159","-696923.2381663284","-696923.2381663284","-696923.2381663284","-583543.8973551334","-583543.8973551334","-583543.8973551334"
"160","-696815.5424456417","-696815.5424456417","-696815.5424456417","-583356.9690035672","-583356.9690035672","-583356.9690035672"
"161","-697088.2403202913","-697088.2403202913","-697088.2403202913","-583395.8070756487","-583395.8070756487","-583395.8070756487"
"162","-697174.888851682","-697174.888851682","-697174.888851682","-583027.5535454801","-583027.5535454801","-583027.5535454801"
"163","-696894.826666568","-696894.826666568","-696894.826666568","-582551.1412490857","-582551.1412490857","-582551.1412490857"
"164","-697053.2418320875","-697053.2418320875","-697053.2418320875","-582403.8705164044","-582403.8705164044","-582403.8705164044"
"165","-697066.7033052756","-697066.7033052756","-697066.7033052756","-582043.0919898273","-582043.0919898273","-582043.0919898273"
"166","-697141.0278599975","-697141.0278599975","-697141.0278599975","-581957.3490944122","-581957.3490944122","-581957.3490944122"
"167","-697013.7669056274","-697013.7669056274","-697013.7669056274","-581821.332588827","-581821.332588827","-581821.332588827"
"168","-696980.2870824051","-696980.2870824051","-696980.2870824051","-581660.3731450238","-581660.3731450238","-581660.3731450238"
"169","-697253.9477010485","-697253.9477010485","-697253.9477010485","-581307.0433150948","-581307.0433150948","-581307.0433150948"
"170","-697101.6965556772","-697101.6965556772","-697101.6965556772","-581258.3257547949","-581258.3257547949","-581258.3257547949"
"171","-697407.9127186914","-697407.9127186914","-697407.9127186914","-581349.125642075","-581349.125642075","-581349.125642075"
"172","-697354.2156128127","-697354.2156128127","-697354.2156128127","-581046.7348766044","-581046.7348766044","-581046.7348766044"
"173","-697438.4877829124","-697438.4877829124","-697438.4877829124","-580845.948773885","-580845.948773885","-580845.948773885"
"174","-697501.7049075173","-697501.7049075173","-697501.7049075173","-580495.8224388055","-580495.8224388055","-580495.8224388055"
"175","-697358.9334552651","-697358.9334552651","-697358.9334552651","-580602.369696777","-580602.369696777","-580602.369696777"
"176","-697474.1249133669","-697474.1249133669","-697474.1249133669","-580683.0705345661","-580683.0705345661","-580683.0705345661"
"177","-697548.1570620458","-697548.1570620458","-697548.1570620458","-580627.3767892534","-580627.3767892534","-580627.3767892534"
"178","-697814.277720246","-697814.277720246","-697814.277720246","-580505.3370306361","-580505.3370306361","-580505.3370306361"
"179","-698030.3638183123","-698030.3638183123","-698030.3638183123","-580451.3867499154","-580451.3867499154","-580451.3867499154"
"180","-698069.9875492686","-698069.9875492686","-698069.9875492686","-580508.5303236683","-580508.5303236683","-580508.5303236683"
"181","-697610.0892931288","-697610.0892931288","-697610.0892931288","-580471.2323393237","-580471.2323393237","-580471.2323393237"
"182","-697596.9824842146","-697596.9824842146","-697596.9824842146","-580509.7528204247","-580509.7528204247","-580509.7528204247"
"183","-697339.0352640004","-697339.0352640004","-697339.0352640004","-580453.3296219481","-580453.3296219481","-580453.3296219481"
"184","-697050.3222490281","-697050.3222490281","-697050.3222490281","-580407.1092629931","-580407.1092629931","-580407.1092629931"
"185","-696864.7207483322","-696864.7207483322","-696864.7207483322","-580274.3092821952","-580274.3092821952","-580274.3092821952"
"186","-696969.8428261554","-696969.8428261554","-696969.8428261554","-580350.8651527178","-580350.8651527178","-580350.8651527178"
"187","-696996.4907924539","-696996.4907924539","-696996.4907924539","-580095.2396277541","-580095.2396277541","-580095.2396277541"
"188","-696908.3462744997","-696908.3462744997","-696908.3462744997","-579951.6187939823","-579951.6187939823","-579951.6187939823"
"189","-696722.5676972269","-696722.5676972269","-696722.5676972269","","",""
"190","-696758.3153480146","-696758.3153480146","-696758.3153480146","","",""
"191","-697167.8345324845","-697167.8345324845","-697167.8345324845","","",""
"192","-697277.2475354403","-697277.2475354403","-697277.2475354403","","",""
"193","-697437.0329591725","-697437.0329591725","-697437.0329591725","","",""