"Step","resistant_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"0","-1768361.4132473387","-1768361.4132473387","-1768361.4132473387","-1760103.9918135514","-1760103.9918135514","-1760103.9918135514"
"1","-1801650.9536911456","-1801650.9536911456","-1801650.9536911456","-1805991.526226456","-1805991.526226456","-1805991.526226456"
"2","-1813764.7907170386","-1813764.7907170386","-1813764.7907170386","-1834607.4427108495","-1834607.4427108495","-1834607.4427108495"
"3","-1803109.4806372228","-1803109.4806372228","-1803109.4806372228","-1844535.9314805677","-1844535.9314805677","-1844535.9314805677"
"4","-1800788.2882016096","-1800788.2882016096","-1800788.2882016096","-1844657.1864203576","-1844657.1864203576","-1844657.1864203576"
"5","-1792060.0575767981","-1792060.0575767981","-1792060.0575767981","-1823897.5698544125","-1823897.5698544125","-1823897.5698544125"
"6","-1799416.6545956265","-1799416.6545956265","-1799416.6545956265","-1814813.34322856","-1814813.34322856","-1814813.34322856"
"7","-1801057.193527161","-1801057.193527161","-1801057.193527161","-1810043.6472162677","-1810043.6472162677","-1810043.6472162677"
"8","-1797882.90635774","-1797882.90635774","-1797882.90635774","-1799746.9980477314","-1799746.9980477314","-1799746.9980477314"
"9","-1792000.1408278283","-1792000.1408278283","-1792000.1408278283","-1792351.6040531355","-1792351.6040531355","-1792351.6040531355"
"10","-1787953.5223648173","-1787953.5223648173","-1787953.5223648173","-1782990.2806131877","-1782990.2806131877","-1782990.2806131877"
"11","-1791268.9866295056","-1791268.9866295056","-1791268.9866295056","-1775086.9061902026","-1775086.9061902026","-1775086.9061902026"
"12","-1788625.7185239417","-1788625.7185239417","-1788625.7185239417","-1764807.9617255218","-1764807.9617255218","-1764807.9617255218"
"13","-1790677.4361756092","-1790677.4361756092","-1790677.4361756092","-1757358.7804994506","-1757358.7804994506","-1757358.7804994506"
"14","-1789534.3949104443","-1789534.3949104443","-1789534.3949104443","-1749076.192628004","-1749076.192628004","-1749076.192628004"
"15","-1792554.0982689078","-1792554.0982689078","-1792554.0982689078","-1741749.191010189","-1741749.191010189","-1741749.191010189"
"16","-1793598.28001443","-1793598.28001443","-1793598.28001443","-1734724.511354764","-1734724.511354764","-1734724.511354764"
"17","-1794470.371420078","-1794470.371420078","-1794470.371420078","-1728756.830805476","-1728756.830805476","-1728756.830805476"
"18","-1795607.292920511","-1795607.292920511","-1795607.292920511","-1722565.6513609174","-1722565.6513609174","-1722565.6513609174"
"19","-1795041.0337896023","-1795041.0337896023","-1795041.0337896023","-1716878.5537078227","-1716878.5537078227","-1716878.5537078227"
"20","-1793879.821640144","-1793879.821640144","-1793879.821640144","-1713939.7363880784","-1713939.7363880784","-1713939.7363880784"
"21","-1794335.5034555173","-1794335.5034555173","-1794335.5034555173","-1711146.1724089424","-1711146.1724089424","-1711146.1724089424"
"22","-1791681.3676387595","-1791681.3676387595","-1791681.3676387595","-1706408.3040131307","-1706408.3040131307","-1706408.3040131307"
"23","-1791286.8064291414","-1791286.8064291414","-1791286.8064291414","-1703146.0433497385","-1703146.0433497385","-1703146.0433497385"
"24","-1789570.8438287731","-1789570.8438287731","-1789570.8438287731","-1700433.0798656421","-1700433.0798656421","-1700433.0798656421"
"25","-1787679.3479797565","-1787679.3479797565","-1787679.3479797565","-1696561.1488580292","-1696561.1488580292","-1696561.1488580292"
"26","-1788165.2707209561","-1788165.2707209561","-1788165.2707209561","-1693478.686497685","-1693478.686497685","-1693478.686497685"
"27","-1789996.7940673314","-1789996.7940673314","-1789996.7940673314","-1692187.2787251507","-1692187.2787251507","-1692187.2787251507"
"28","-1789310.716155641","-1789310.716155641","-1789310.716155641","-1690067.0027892352","-1690067.0027892352","-1690067.0027892352"
"29","-1788223.404280055","-1788223.404280055","-1788223.404280055","-1687471.4568732332","-1687471.4568732332","-1687471.4568732332"
"30","-1788870.690988531","-1788870.690988531","-1788870.690988531","-1684175.4475255867","-1684175.4475255867","-1684175.4475255867"
"31","-1786388.7565933382","-1786388.7565933382","-1786388.7565933382","-1679941.3378097517","-1679941.3378097517","-1679941.3378097517"
"32","-1786377.6791370055","-1786377.6791370055","-1786377.6791370055","-1676832.1821784934","-1676832.1821784934","-1676832.1821784934"
"33","-1786221.8384409542","-1786221.8384409542","-1786221.8384409542","-1674615.9936623122","-1674615.9936623122","-1674615.9936623122"
"34","-1785573.5825175752","-1785573.5825175752","-1785573.5825175752","-1672091.8645151546","-1672091.8645151546","-1672091.8645151546"
"35","-1788281.8828456318","-1788281.8828456318","-1788281.8828456318","-1669922.9312757165","-1669922.9312757165","-1669922.9312757165"
"36","-1785543.587578336","-1785543.587578336","-1785543.587578336","-1667858.181698857","-1667858.181698857","-1667858.181698857"
"37","-1784191.1134024595","-1784191.1134024595","-1784191.1134024595","-1665613.7971523155","-1665613.7971523155","-1665613.7971523155"
"38","-1782068.2958842618","-1782068.2958842618","-1782068.2958842618","-1663678.915647509","-1663678.915647509","-1663678.915647509"
"39","-1781770.409808632","-1781770.409808632","-1781770.409808632","-1661065.1776080746","-1661065.1776080746","-1661065.1776080746"
"40","-1780241.5304333903","-1780241.5304333903","-1780241.5304333903","-1660049.6220839692","-1660049.6220839692","-1660049.6220839692"
"41","-1780626.1847054674","-1780626.1847054674","-1780626.1847054674","-1659240.128806855","-1659240.128806855","-1659240.128806855"
"42","-1779712.0926896513","-1779712.0926896513","-1779712.0926896513","-1656792.3602732206","-1656792.3602732206","-1656792.3602732206"
"43","-1780345.151704897","-1780345.151704897","-1780345.151704897","-1654472.1154823469","-1654472.1154823469","-1654472.1154823469"
"44","-1779985.988017425","-1779985.988017425","-1779985.988017425","-1652462.3257303936","-1652462.3257303936","-1652462.3257303936"
"45","-1778724.8419710537","-1778724.8419710537","-1778724.8419710537","-1650092.192649529","-1650092.192649529","-1650092.192649529"
"46","-1778663.6219232827","-1778663.6219232827","-1778663.6219232827","-1648189.0554712748","-1648189.0554712748","-1648189.0554712748"
"47","-1778471.143068456","-1778471.143068456","-1778471.143068456","-1647201.9721441725","-1647201.9721441725","-1647201.9721441725"
"48","-1778870.3338985948","-1778870.3338985948","-1778870.3338985948","-1645709.6156401844","-1645709.6156401844","-1645709.6156401844"
"49","-1779139.3787065477","-1779139.3787065477","-1779139.3787065477","-1644845.14358985","-1644845.14358985","-1644845.14358985"
"50","-1778828.346821667","-1778828.346821667","-1778828.346821667","-1644205.692804056","-1644205.692804056","-1644205.692804056"
"51","-1778341.426445103","-1778341.426445103","-1778341.426445103","-1642934.9945824353","-1642934.9945824353","-1642934.9945824353"
"52","-1778052.3460748657","-1778052.3460748657","-1778052.3460748657","-1642136.7073618914","-1642136.7073618914","-1642136.7073618914"
"53","-1777505.3580131305","-1777505.3580131305","-1777505.3580131305","-1641249.9038020046","-1641249.9038020046","-1641249.9038020046"
"54","-1777095.9142625774","-1777095.9142625774","-1777095.9142625774","-1640454.523159769","-1640454.523159769","-1640454.523159769"
"55","-1777523.8206058636","-1777523.8206058636","-1777523.8206058636","-1638673.7345838286","-1638673.7345838286","-1638673.7345838286"
"56","-1777387.6204737085","-1777387.6204737085","-1777387.6204737085","-1637617.8332533957","-1637617.8332533957","-1637617.8332533957"
"57","-1775980.6441450668","-1775980.6441450668","-1775980.6441450668","-1636907.669777601","-1636907.669777601","-1636907.669777601"
"58","-1775862.6362785238","-1775862.6362785238","-1775862.6362785238","-1636128.6601845114","-1636128.6601845114","-1636128.6601845114"
"59","-1775917.0223093757","-1775917.0223093757","-1775917.0223093757","-1635429.1827306843","-1635429.1827306843","-1635429.1827306843"
"60","-1775051.4671149317","-1775051.4671149317","-1775051.4671149317","-1635155.1255019992","-1635155.1255019992","-1635155.1255019992"
"61","-1774809.4227356396","-1774809.4227356396","-1774809.4227356396","-1634058.92955847","-1634058.92955847","-1634058.92955847"
"62","-1774506.4231792493","-1774506.4231792493","-1774506.4231792493","-1633968.1343772209","-1633968.1343772209","-1633968.1343772209"
"63","-1773417.0898029055","-1773417.0898029055","-1773417.0898029055","-1633503.7220998346","-1633503.7220998346","-1633503.7220998346"
"64","-1773988.3002052875","-1773988.3002052875","-1773988.3002052875","-1632723.860129699","-1632723.860129699","-1632723.860129699"
"65","-1773342.652738217","-1773342.652738217","-1773342.652738217","-1632135.772112341","-1632135.772112341","-1632135.772112341"
"66","-1773231.2457941289","-1773231.2457941289","-1773231.2457941289","-1632032.5917164895","-1632032.5917164895","-1632032.5917164895"
"67","-1773118.9982223068","-1773118.9982223068","-1773118.9982223068","-1631632.8341387908","-1631632.8341387908","-1631632.8341387908"
"68","-1772825.2679123448","-1772825.2679123448","-1772825.2679123448","-1630409.315136118","-1630409.315136118","-1630409.315136118"
"69","-1771891.5037479915","-1771891.5037479915","-1771891.5037479915","-1629511.195345265","-1629511.195345265","-1629511.195345265"
"70","-1772479.0094125785","-1772479.0094125785","-1772479.0094125785","-1628913.5750170362","-1628913.5750170362","-1628913.5750170362"
"71","-1772132.8926366256","-1772132.8926366256","-1772132.8926366256","-1629174.7883364833","-1629174.7883364833","-1629174.7883364833"
"72","-1771166.60529554","-1771166.60529554","-1771166.60529554","-1628796.2171349311","-1628796.2171349311","-1628796.2171349311"
"73","-1771312.1993915276","-1771312.1993915276","-1771312.1993915276","-1628551.8369191345","-1628551.8369191345","-1628551.8369191345"
"74","-1771722.4465673096","-1771722.4465673096","-1771722.4465673096","-1628632.8189847597","-1628632.8189847597","-1628632.8189847597"
"75","-1771732.3639508355","-1771732.3639508355","-1771732.3639508355","-1628752.1119993443","-1628752.1119993443","-1628752.1119993443"
"76","-1771338.715737026","-1771338.715737026","-1771338.715737026","-1628041.435500831","-1628041.435500831","-1628041.435500831"
"77","-1771157.688659218","-1771157.688659218","-1771157.688659218","-1627825.831538816","-1627825.831538816","-1627825.831538816"
"78","-1771082.8904440845","-1771082.8904440845","-1771082.8904440845","-1627163.5336738639","-1627163.5336738639","-1627163.5336738639"
"79","-1771621.3383655143","-1771621.3383655143","-1771621.3383655143","-1626666.6069514824","-1626666.6069514824","-1626666.6069514824"
"80","-1771636.3086576634","-1771636.3086576634","-1771636.3086576634","-1625507.695176731","-1625507.695176731","-1625507.695176731"
"81","-1771741.5322459256","-1771741.5322459256","-1771741.5322459256","-1625556.2583603438","-1625556.2583603438","-1625556.2583603438"
"82","-1771336.8950698394","-1771336.8950698394","-1771336.8950698394","-1624560.5478820775","-1624560.5478820775","-1624560.5478820775"
"83","-1771359.277309681","-1771359.277309681","-1771359.277309681","-1624191.010013463","-1624191.010013463","-1624191.010013463"
"84","-1770898.1817829441","-1770898.1817829441","-1770898.1817829441","-1624005.0752411843","-1624005.0752411843","-1624005.0752411843"
"85","-1770421.4199391613","-1770421.4199391613","-1770421.4199391613","-1623433.8218581371","-1623433.8218581371","-1623433.8218581371"
"86","-1770084.4368223662","-1770084.4368223662","-1770084.4368223662","-1623431.6139684326","-1623431.6139684326","-1623431.6139684326"
"87","-1770836.1654574745","-1770836.1654574745","-1770836.1654574745","-1623059.5651702804","-1623059.5651702804","-1623059.5651702804"
"88","-1770636.9534432462","-1770636.9534432462","-1770636.9534432462","-1622439.4430652407","-1622439.4430652407","-1622439.4430652407"
"89","-1770362.7110714081","-1770362.7110714081","-1770362.7110714081","-1621874.316805282","-1621874.316805282","-1621874.316805282"
"90","-1770380.4309820484","-1770380.4309820484","-1770380.4309820484","-1621409.871963377","-1621409.871963377","-1621409.871963377"
"91","-1769966.9756925106","-1769966.9756925106","-1769966.9756925106","-1621117.1093743774","-1621117.1093743774","-1621117.1093743774"
"92","-1770523.2277651746","-1770523.2277651746","-1770523.2277651746","-1620740.7190005395","-1620740.7190005395","-1620740.7190005395"
"93","-1770691.973260008","-1770691.973260008","-1770691.973260008","-1620696.960425681","-1620696.960425681","-1620696.960425681"
"94","-1770980.024838837","-1770980.024838837","-1770980.024838837","-1620856.9359178974","-1620856.9359178974","-1620856.9359178974"
"95","-1771015.5288594626","-1771015.5288594626","-1771015.5288594626","-1620769.4793410543","-1620769.4793410543","-1620769.4793410543"
"96","-1770623.210105777","-1770623.210105777","-1770623.210105777","-1620569.0849368195","-1620569.0849368195","-1620569.0849368195"
"97","-1770650.7680880716","-1770650.7680880716","-1770650.7680880716","-1620590.9045682377","-1620590.9045682377","-1620590.9045682377"
"98","-1770899.761218251","-1770899.761218251","-1770899.761218251","-1620427.9373052812","-1620427.9373052812","-1620427.9373052812"
"99","-1770439.756158912","-1770439.756158912","-1770439.756158912","-1619681.6178861225","-1619681.6178861225","-1619681.6178861225"
"100","-1770482.0584483976","-1770482.0584483976","-1770482.0584483976","-1619087.9248668368","-1619087.9248668368","-1619087.9248668368"
"101","-1770859.7798082347","-1770859.7798082347","-1770859.7798082347","-1618745.0147427388","-1618745.0147427388","-1618745.0147427388"
"102","-1770780.1826439719","-1770780.1826439719","-1770780.1826439719","-1618593.0900040937","-1618593.0900040937","-1618593.0900040937"
"103","-1770897.0307125957","-1770897.0307125957","-1770897.0307125957","-1618135.9625770217","-1618135.9625770217","-1618135.9625770217"
"104","-1770589.9771347328","-1770589.9771347328","-1770589.9771347328","-1617303.3219503877","-1617303.3219503877","-1617303.3219503877"
"105","-1770186.180165875","-1770186.180165875","-1770186.180165875","-1616886.6907280777","-1616886.6907280777","-1616886.6907280777"
"106","-1769829.6763072002","-1769829.6763072002","-1769829.6763072002","-1616454.6006342687","-1616454.6006342687","-1616454.6006342687"
"107","-1770195.440751777","-1770195.440751777","-1770195.440751777","-1616498.619459377","-1616498.619459377","-1616498.619459377"
"108","-1770844.426325456","-1770844.426325456","-1770844.426325456","-1616313.9934313595","-1616313.9934313595","-1616313.9934313595"
"109","-1770866.9379914529","-1770866.9379914529","-1770866.9379914529","-1615768.4781758974","-1615768.4781758974","-1615768.4781758974"
"110","-1771153.822707248","-1771153.822707248","-1771153.822707248","-1615354.2377667644","-1615354.2377667644","-1615354.2377667644"
"111","-1770890.9297709207","-1770890.9297709207","-1770890.9297709207","-1614799.9816684711","-1614799.9816684711","-1614799.9816684711"
"112","-1771091.185187918","-1771091.185187918","-1771091.185187918","-1614800.448304922","-1614800.448304922","-1614800.448304922"
"113","-1771408.8136268442","-1771408.8136268442","-1771408.8136268442","-1614606.8134646695","-1614606.8134646695","-1614606.8134646695"
"114","-1771644.2594567793","-1771644.2594567793","-1771644.2594567793","-1614267.0706956561","-1614267.0706956561","-1614267.0706956561"
"115","-1771967.491269633","-1771967.491269633","-1771967.491269633","-1614066.9289237268","-1614066.9289237268","-1614066.9289237268"
"116","-1772075.123381637","-1772075.123381637","-1772075.123381637","-1613826.7546068477","-1613826.7546068477","-1613826.7546068477"
"117","-1771922.5420746417","-1771922.5420746417","-1771922.5420746417","-1613244.725273544","-1613244.725273544","-1613244.725273544"
"118","-1771715.1069502041","-1771715.1069502041","-1771715.1069502041","-1613164.8792890178","-1613164.8792890178","-1613164.8792890178"
"119","-1771779.379060253","-1771779.379060253","-1771779.379060253","-1613104.5628949662","-1613104.5628949662","-1613104.5628949662"
"120","-1771569.982948043","-1771569.982948043","-1771569.982948043","-1613139.724911531","-1613139.724911531","-1613139.724911531"
"121","-1771460.3801077325","-1771460.3801077325","-1771460.3801077325","-1612599.0921462434","-1612599.0921462434","-1612599.0921462434"
"122","-1771208.7021204436","-1771208.7021204436","-1771208.7021204436","-1612524.903516948","-1612524.903516948","-1612524.903516948"
"123","-1771129.9827646269","-1771129.9827646269","-1771129.9827646269","-1612478.6688062723","-1612478.6688062723","-1612478.6688062723"
"124","-1770949.0194650716","-1770949.0194650716","-1770949.0194650716","-1612641.553708137","-1612641.553708137","-1612641.553708137"
"125","-1770925.1146019134","-1770925.1146019134","-1770925.1146019134","-1611985.2367805997","-1611985.2367805997","-1611985.2367805997"
"126","-1770993.4989635174","-1770993.4989635174","-1770993.4989635174","-1611529.4582078343","-1611529.4582078343","-1611529.4582078343"
"127","-1770984.1818746696","-1770984.1818746696","-1770984.1818746696","-1611433.973679308","-1611433.973679308","-1611433.973679308"
"128","-1770772.9465655752","-1770772.9465655752","-1770772.9465655752","-1611219.0087635694","-1611219.0087635694","-1611219.0087635694"
"129","-1770642.1206370483","-1770642.1206370483","-1770642.1206370483","-1611051.2905556448","-1611051.2905556448","-1611051.2905556448"
"130","-1770352.4341954298","-1770352.4341954298","-1770352.4341954298","-1610770.4394904685","-1610770.4394904685","-1610770.4394904685"
"131","-1770370.4411691856","-1770370.4411691856","-1770370.4411691856","-1610692.5410149242","-1610692.5410149242","-1610692.5410149242"
"132","-1770414.859141248","-1770414.859141248","-1770414.859141248","-1610608.2275499701","-1610608.2275499701","-1610608.2275499701"
"133","-1770237.0796986273","-1770237.0796986273","-1770237.0796986273","-1610527.8412714598","-1610527.8412714598","-1610527.8412714598"
"134","-1770353.9918906728","-1770353.9918906728","-1770353.9918906728","-1610320.6146295841","-1610320.6146295841","-1610320.6146295841"
"135","-1770535.1127750252","-1770535.1127750252","-1770535.1127750252","-1610115.4058242198","-1610115.4058242198","-1610115.4058242198"
"136","-1770828.6256541847","-1770828.6256541847","-1770828.6256541847","-1609888.8087891953","-1609888.8087891953","-1609888.8087891953"
"137","-1770908.695090554","-1770908.695090554","-1770908.695090554","-1609851.5920851734","-1609851.5920851734","-1609851.5920851734"
"138","-1770489.9531420795","-1770489.9531420795","-1770489.9531420795","-1609594.250878687","-1609594.250878687","-1609594.250878687"
"139","-1770042.2663579434","-1770042.2663579434","-1770042.2663579434","-1609473.6468147042","-1609473.6468147042","-1609473.6468147042"
"140","-1769752.101472623","-1769752.101472623","-1769752.101472623","-1609790.0353407434","-1609790.0353407434","-1609790.0353407434"
"141","-1769655.6096213306","-1769655.6096213306","-1769655.6096213306","-1609445.9328071564","-1609445.9328071564","-1609445.9328071564"
"142","-1769643.8404464119","-1769643.8404464119","-1769643.8404464119","-1609308.813792714","-1609308.813792714","-1609308.813792714"
"143","-1769699.9249953253","-1769699.9249953253","-1769699.9249953253","-1608679.572460634","-1608679.572460634","-1608679.572460634"
"144","-1769488.2449396001","-1769488.2449396001","-1769488.2449396001","-1608353.123752941","-1608353.123752941","-1608353.123752941"
"145","-1769735.8510074213","-1769735.8510074213","-1769735.8510074213","-1608322.0104418537","-1608322.0104418537","-1608322.0104418537"
"146","-1769243.595981237","-1769243.595981237","-1769243.595981237","-1608325.1110841655","-1608325.1110841655","-1608325.1110841655"
"147","-1769420.6832969717","-1769420.6832969717","-1769420.6832969717","-1607977.8239314505","-1607977.8239314505","-1607977.8239314505"
"148","-1769561.4190689512","-1769561.4190689512","-1769561.4190689512","-1607779.8116958316","-1607779.8116958316","-1607779.8116958316"
"149","-1769409.918691507","-1769409.918691507","-1769409.918691507","-1607506.8214189673","-1607506.8214189673","-1607506.8214189673"
"150","-1769577.2722280044","-1769577.2722280044","-1769577.2722280044","-1607036.3083144948","-1607036.3083144948","-1607036.3083144948"
"151","-1769891.0230135322","-1769891.0230135322","-1769891.0230135322","-1607112.2243405478","-1607112.2243405478","-1607112.2243405478"
"152","-1770213.9566693283","-1770213.9566693283","-1770213.9566693283","-1606770.0549984856","-1606770.0549984856","-1606770.0549984856"
"153","-1770507.9580555384","-1770507.9580555384","-1770507.9580555384","-1606540.149748637","-1606540.149748637","-1606540.149748637"
"154","-1770367.9621376335","-1770367.9621376335","-1770367.9621376335","-1606534.2629513538","-1606534.2629513538","-1606534.2629513538"
"155","-1770246.1259389769","-1770246.1259389769","-1770246.1259389769","-1606310.5659886773","-1606310.5659886773","-1606310.5659886773"
"156","-1770433.9821997858","-1770433.9821997858","-1770433.9821997858","-1606437.5292856665","-1606437.5292856665","-1606437.5292856665"
"157","-1770556.8566984243","-1770556.8566984243","-1770556.8566984243","-1606243.678558803","-1606243.678558803","-1606243.678558803"
"158","-1770646.0728039471","-1770646.0728039471","-1770646.0728039471","-1606143.9689810576","-1606143.9689810576","-1606143.9689810576"
"159","-1770600.5205304823","-1770600.5205304823","-1770600.5205304823","-1606030.9657030313","-1606030.9657030313","-1606030.9657030313"
"160","-1771017.0526461094","-1771017.0526461094","-1771017.0526461094","-1606039.4280411433","-1606039.4280411433","-1606039.4280411433"
"161","-1770857.5427853987","-1770857.5427853987","-1770857.5427853987","-1605905.9076383743","-1605905.9076383743","-1605905.9076383743"
"162","-1771059.947858542","-1771059.947858542","-1771059.947858542","-1605806.4990695273","-1605806.4990695273","-1605806.4990695273"
"163","-1771242.206094809","-1771242.206094809","-1771242.206094809","-1605724.6596688528","-1605724.6596688528","-1605724.6596688528"
"164","-1770876.4717702903","-1770876.4717702903","-1770876.4717702903","-1605716.5214992808","-1605716.5214992808","-1605716.5214992808"
"165","-1771005.5101910017","-1771005.5101910017","-1771005.5101910017","-1605604.9401651896","-1605604.9401651896","-1605604.9401651896"
"166","-1770931.2313175243","-1770931.2313175243","-1770931.2313175243","-1605426.0902421377","-1605426.0902421377","-1605426.0902421377"
"167","-1770761.9036998071","-1770761.9036998071","-1770761.9036998071","-1605272.4837795123","-1605272.4837795123","-1605272.4837795123"
"168","-1770534.0994911296","-1770534.0994911296","-1770534.0994911296","-1604884.8727242118","-1604884.8727242118","-1604884.8727242118"
"169","-1770731.4326782946","-1770731.4326782946","-1770731.4326782946","-1604882.3451289085","-1604882.3451289085","-1604882.3451289085"
"170","-1770751.1083488436","-1770751.1083488436","-1770751.1083488436","-1604630.1880367973","-1604630.1880367973","-1604630.1880367973"
"171","-1770952.7215958103","-1770952.7215958103","-1770952.7215958103","-1604495.9157659404","-1604495.9157659404","-1604495.9157659404"
"172","-1770959.6499571367","-1770959.6499571367","-1770959.6499571367","-1604352.6110418807","-1604352.6110418807","-1604352.6110418807"
"173","-1770980.7058040334","-1770980.7058040334","-1770980.7058040334","-1604208.1393091877","-1604208.1393091877","-1604208.1393091877"
"174","-1770863.7794435972","-1770863.7794435972","-1770863.7794435972","-1604222.5781157655","-1604222.5781157655","-1604222.5781157655"
"175","-1771127.1129933745","-1771127.1129933745","-1771127.1129933745","-1604148.3768148965","-1604148.3768148965","-1604148.3768148965"
"176","-1770977.5946784161","-1770977.5946784161","-1770977.5946784161","-1604122.282737812","-1604122.282737812","-1604122.282737812"
"177","-1770855.6648690042","-1770855.6648690042","-1770855.6648690042","-1604210.99818382","-1604210.99818382","-1604210.99818382"
"178","-1770850.9406064518","-1770850.9406064518","-1770850.9406064518","-1604015.6872865532","-1604015.6872865532","-1604015.6872865532"
"179","-1770731.7250923326","-1770731.7250923326","-1770731.7250923326","-1604043.0559329067","-1604043.0559329067","-1604043.0559329067"
"180","-1770581.5208324227","-1770581.5208324227","-1770581.5208324227","-1604008.7335727161","-1604008.7335727161","-1604008.7335727161"
"181","-1770574.7532484864","-1770574.7532484864","-1770574.7532484864","-1603684.5565357879","-1603684.5565357879","-1603684.5565357879"
"182","-1770461.748778318","-1770461.748778318","-1770461.748778318","-1603384.0945270737","-1603384.0945270737","-1603384.0945270737"
"183","-1770528.6247100679","-1770528.6247100679","-1770528.6247100679","-1603250.3350912707","-1603250.3350912707","-1603250.3350912707"
"184","-1770460.8407480281","-1770460.8407480281","-1770460.8407480281","-1602972.2923025093","-1602972.2923025093","-1602972.2923025093"
"185","-1770419.3670221185","-1770419.3670221185","-1770419.3670221185","-1602929.8325565457","-1602929.8325565457","-1602929.8325565457"
"186","-1770431.3881509977","-1770431.3881509977","-1770431.3881509977","-1602832.1081929184","-1602832.1081929184","-1602832.1081929184"
"187","-1770247.1300073075","-1770247.1300073075","-1770247.1300073075","-1602605.9068241096","-1602605.9068241096","-1602605.9068241096"
"188","-1770137.4438813531","-1770137.4438813531","-1770137.4438813531","-1602525.3233855483","-1602525.3233855483","-1602525.3233855483"
"189","-1770103.1609781056","-1770103.1609781056","-1770103.1609781056","-1602276.3633790277","-1602276.3633790277","-1602276.3633790277"
"190","-1770377.013683124","-1770377.013683124","-1770377.013683124","-1602155.985513644","-1602155.985513644","-1602155.985513644"
"191","-1770229.130920903","-1770229.130920903","-1770229.130920903","","",""
"192","-1770383.8877493963","-1770383.8877493963","-1770383.8877493963","","",""
"193","-1770371.6629570879","-1770371.6629570879","-1770371.6629570879","","",""