"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"95","-1183420.2876508697","-1183420.2876508697","-1183420.2876508697","-1277889.147216139","-1277889.147216139","-1277889.147216139","-940744.9919280023","-940744.9919280023","-940744.9919280023","-760251.6905481761","-760251.6905481761","-760251.6905481761"
"96","-1182584.565080743","-1182584.565080743","-1182584.565080743","-1277676.581235115","-1277676.581235115","-1277676.581235115","-940718.651320472","-940718.651320472","-940718.651320472","-760612.1220370925","-760612.1220370925","-760612.1220370925"
"97","-1181432.2512353298","-1181432.2512353298","-1181432.2512353298","-1276797.7348802665","-1276797.7348802665","-1276797.7348802665","-940358.8315892852","-940358.8315892852","-940358.8315892852","-760731.4965480741","-760731.4965480741","-760731.4965480741"
"98","-1180498.0927719688","-1180498.0927719688","-1180498.0927719688","-1275931.8816030829","-1275931.8816030829","-1275931.8816030829","-940659.3794361999","-940659.3794361999","-940659.3794361999","-760909.063389007","-760909.063389007","-760909.063389007"
"99","-1179885.1862861814","-1179885.1862861814","-1179885.1862861814","-1274849.0915963734","-1274849.0915963734","-1274849.0915963734","-940347.2527593129","-940347.2527593129","-940347.2527593129","-760712.5584857579","-760712.5584857579","-760712.5584857579"
"100","-1178713.4744095001","-1178713.4744095001","-1178713.4744095001","-1274728.4090785016","-1274728.4090785016","-1274728.4090785016","-940333.0120390075","-940333.0120390075","-940333.0120390075","-760709.3396640485","-760709.3396640485","-760709.3396640485"
"101","-1177807.6247992548","-1177807.6247992548","-1177807.6247992548","-1274000.6017313646","-1274000.6017313646","-1274000.6017313646","-940085.4743134886","-940085.4743134886","-940085.4743134886","-760816.1478802842","-760816.1478802842","-760816.1478802842"
"102","-1177221.8796307524","-1177221.8796307524","-1177221.8796307524","-1274084.1394706373","-1274084.1394706373","-1274084.1394706373","-940140.8832100277","-940140.8832100277","-940140.8832100277","-761213.4837142122","-761213.4837142122","-761213.4837142122"
"103","-1175946.2245866763","-1175946.2245866763","-1175946.2245866763","-1273368.8232123556","-1273368.8232123556","-1273368.8232123556","-939545.5909529099","-939545.5909529099","-939545.5909529099","-761253.0919385346","-761253.0919385346","-761253.0919385346"
"104","-1175239.1229765462","-1175239.1229765462","-1175239.1229765462","-1272587.8558524936","-1272587.8558524936","-1272587.8558524936","-939452.8673173846","-939452.8673173846","-939452.8673173846","-761401.420521661","-761401.420521661","-761401.420521661"
"105","-1173952.465075723","-1173952.465075723","-1173952.465075723","-1271079.7440442718","-1271079.7440442718","-1271079.7440442718","-939187.9472465032","-939187.9472465032","-939187.9472465032","-761039.8648710827","-761039.8648710827","-761039.8648710827"
"106","-1173614.6885818148","-1173614.6885818148","-1173614.6885818148","-1270660.6975223578","-1270660.6975223578","-1270660.6975223578","-939338.2762041205","-939338.2762041205","-939338.2762041205","-761296.6141708534","-761296.6141708534","-761296.6141708534"
"107","-1173654.6360102661","-1173654.6360102661","-1173654.6360102661","-1270538.6345898728","-1270538.6345898728","-1270538.6345898728","-939331.613759093","-939331.613759093","-939331.613759093","-761937.8291878386","-761937.8291878386","-761937.8291878386"
"108","-1172881.824493745","-1172881.824493745","-1172881.824493745","-1269296.0365787651","-1269296.0365787651","-1269296.0365787651","-939367.8755939458","-939367.8755939458","-939367.8755939458","-761995.4997713403","-761995.4997713403","-761995.4997713403"
"109","-1171905.5614683072","-1171905.5614683072","-1171905.5614683072","-1268522.523136139","-1268522.523136139","-1268522.523136139","-939381.3326868169","-939381.3326868169","-939381.3326868169","-761957.8241859947","-761957.8241859947","-761957.8241859947"
"110","-1171192.829613124","-1171192.829613124","-1171192.829613124","-1267894.2041496465","-1267894.2041496465","-1267894.2041496465","-939800.062109646","-939800.062109646","-939800.062109646","-762164.9273855273","-762164.9273855273","-762164.9273855273"
"111","-1170784.0277859145","-1170784.0277859145","-1170784.0277859145","-1267079.5049987573","-1267079.5049987573","-1267079.5049987573","-939646.7450148851","-939646.7450148851","-939646.7450148851","-762553.5280475321","-762553.5280475321","-762553.5280475321"
"112","-1169841.4793977165","-1169841.4793977165","-1169841.4793977165","-1266212.7656036823","-1266212.7656036823","-1266212.7656036823","-939554.4239530056","-939554.4239530056","-939554.4239530056","-762463.3379999759","-762463.3379999759","-762463.3379999759"
"113","-1168695.581060784","-1168695.581060784","-1168695.581060784","-1265690.3961813606","-1265690.3961813606","-1265690.3961813606","-939234.1603870112","-939234.1603870112","-939234.1603870112","-762365.6113901336","-762365.6113901336","-762365.6113901336"
"114","-1168082.8899922147","-1168082.8899922147","-1168082.8899922147","-1265442.2667169115","-1265442.2667169115","-1265442.2667169115","-939035.5588929334","-939035.5588929334","-939035.5588929334","-762205.344458392","-762205.344458392","-762205.344458392"
"115","-1168108.4854188282","-1168108.4854188282","-1168108.4854188282","-1265116.1739074786","-1265116.1739074786","-1265116.1739074786","-938444.9820106514","-938444.9820106514","-938444.9820106514","-762496.980501161","-762496.980501161","-762496.980501161"
"116","-1167335.6942442812","-1167335.6942442812","-1167335.6942442812","-1263871.7212595637","-1263871.7212595637","-1263871.7212595637","-938331.8063765711","-938331.8063765711","-938331.8063765711","-762335.6258694463","-762335.6258694463","-762335.6258694463"
"117","-1166947.6758255924","-1166947.6758255924","-1166947.6758255924","-1263436.0522007172","-1263436.0522007172","-1263436.0522007172","-937727.3909169971","-937727.3909169971","-937727.3909169971","-762361.2179022173","-762361.2179022173","-762361.2179022173"
"118","-1166007.1007964967","-1166007.1007964967","-1166007.1007964967","-1262692.5540327164","-1262692.5540327164","-1262692.5540327164","-937365.9461372196","-937365.9461372196","-937365.9461372196","-762356.0042818348","-762356.0042818348","-762356.0042818348"
"119","-1164614.2125667518","-1164614.2125667518","-1164614.2125667518","-1261611.2261335624","-1261611.2261335624","-1261611.2261335624","-937221.0645791274","-937221.0645791274","-937221.0645791274","-762219.3621955352","-762219.3621955352","-762219.3621955352"
"120","-1164158.0355761335","-1164158.0355761335","-1164158.0355761335","-1260778.9721925128","-1260778.9721925128","-1260778.9721925128","-936719.7028318703","-936719.7028318703","-936719.7028318703","-762388.4660157852","-762388.4660157852","-762388.4660157852"
"121","-1163452.445798671","-1163452.445798671","-1163452.445798671","-1260076.3848748272","-1260076.3848748272","-1260076.3848748272","-936590.7587114071","-936590.7587114071","-936590.7587114071","-762206.3827551329","-762206.3827551329","-762206.3827551329"
"122","-1162996.1604861887","-1162996.1604861887","-1162996.1604861887","-1259584.8218116702","-1259584.8218116702","-1259584.8218116702","-936356.0342871748","-936356.0342871748","-936356.0342871748","-762160.7220536467","-762160.7220536467","-762160.7220536467"
"123","-1162601.81945653","-1162601.81945653","-1162601.81945653","-1258780.974332533","-1258780.974332533","-1258780.974332533","-935893.1636748238","-935893.1636748238","-935893.1636748238","-761975.425701437","-761975.425701437","-761975.425701437"
"124","-1161986.3222742067","-1161986.3222742067","-1161986.3222742067","-1257993.1231945918","-1257993.1231945918","-1257993.1231945918","-935517.8459052704","-935517.8459052704","-935517.8459052704","-761978.0310678043","-761978.0310678043","-761978.0310678043"
"125","-1160894.3323009042","-1160894.3323009042","-1160894.3323009042","-1257732.0931497212","-1257732.0931497212","-1257732.0931497212","-935414.8831765986","-935414.8831765986","-935414.8831765986","-762018.2712544808","-762018.2712544808","-762018.2712544808"
"126","-1160391.740090607","-1160391.740090607","-1160391.740090607","-1257541.6378431842","-1257541.6378431842","-1257541.6378431842","-935621.4920485136","-935621.4920485136","-935621.4920485136","-762110.7260039444","-762110.7260039444","-762110.7260039444"
"127","-1160139.8076878018","-1160139.8076878018","-1160139.8076878018","-1257206.8605652063","-1257206.8605652063","-1257206.8605652063","-935756.5161039381","-935756.5161039381","-935756.5161039381","-762172.549585799","-762172.549585799","-762172.549585799"
"128","-1159946.080459206","-1159946.080459206","-1159946.080459206","-1256869.7492497764","-1256869.7492497764","-1256869.7492497764","-935289.9005667432","-935289.9005667432","-935289.9005667432","-762212.5436110254","-762212.5436110254","-762212.5436110254"
"129","-1159283.0561590525","-1159283.0561590525","-1159283.0561590525","-1256190.3111974685","-1256190.3111974685","-1256190.3111974685","-935497.9745259812","-935497.9745259812","-935497.9745259812","-762178.9625744147","-762178.9625744147","-762178.9625744147"
"130","-1158929.134002816","-1158929.134002816","-1158929.134002816","-1255900.771586601","-1255900.771586601","-1255900.771586601","-935661.0300899984","-935661.0300899984","-935661.0300899984","-762561.8052831097","-762561.8052831097","-762561.8052831097"
"131","-1158255.258537893","-1158255.258537893","-1158255.258537893","-1255852.2681302533","-1255852.2681302533","-1255852.2681302533","-935458.6932821261","-935458.6932821261","-935458.6932821261","-762888.8066315064","-762888.8066315064","-762888.8066315064"
"132","-1157357.8035122256","-1157357.8035122256","-1157357.8035122256","-1255701.912502415","-1255701.912502415","-1255701.912502415","-935426.8052626798","-935426.8052626798","-935426.8052626798","-762791.2057082674","-762791.2057082674","-762791.2057082674"
"133","-1156391.887138719","-1156391.887138719","-1156391.887138719","-1254545.6543024143","-1254545.6543024143","-1254545.6543024143","-935207.043650678","-935207.043650678","-935207.043650678","-762394.215028581","-762394.215028581","-762394.215028581"
"134","-1156176.3896192163","-1156176.3896192163","-1156176.3896192163","-1253775.1934071735","-1253775.1934071735","-1253775.1934071735","-935205.0343047369","-935205.0343047369","-935205.0343047369","-762307.2152022615","-762307.2152022615","-762307.2152022615"
"135","-1156037.3070874072","-1156037.3070874072","-1156037.3070874072","-1253513.6108788522","-1253513.6108788522","-1253513.6108788522","-935037.3567862837","-935037.3567862837","-935037.3567862837","-762596.5652729437","-762596.5652729437","-762596.5652729437"
"136","-1155908.1104091324","-1155908.1104091324","-1155908.1104091324","-1252944.0095815181","-1252944.0095815181","-1252944.0095815181","-934829.1861421235","-934829.1861421235","-934829.1861421235","-762636.8325429625","-762636.8325429625","-762636.8325429625"
"137","-1155547.6428258405","-1155547.6428258405","-1155547.6428258405","-1252116.9635677845","-1252116.9635677845","-1252116.9635677845","-934801.9296875697","-934801.9296875697","-934801.9296875697","-762459.9661860915","-762459.9661860915","-762459.9661860915"
"138","-1155311.437682172","-1155311.437682172","-1155311.437682172","-1251651.1083559424","-1251651.1083559424","-1251651.1083559424","-935140.3041837404","-935140.3041837404","-935140.3041837404","-762645.7127457533","-762645.7127457533","-762645.7127457533"
"139","-1154326.0580855266","-1154326.0580855266","-1154326.0580855266","-1250664.3909912726","-1250664.3909912726","-1250664.3909912726","-934677.3904763982","-934677.3904763982","-934677.3904763982","-762587.2187775597","-762587.2187775597","-762587.2187775597"
"140","-1154123.183665781","-1154123.183665781","-1154123.183665781","-1250117.1231832944","-1250117.1231832944","-1250117.1231832944","-934532.3513082748","-934532.3513082748","-934532.3513082748","-762570.1120191026","-762570.1120191026","-762570.1120191026"
"141","-1153423.1706215793","-1153423.1706215793","-1153423.1706215793","-1249496.6209398326","-1249496.6209398326","-1249496.6209398326","-934440.3943480201","-934440.3943480201","-934440.3943480201","-762385.5997545581","-762385.5997545581","-762385.5997545581"
"142","-1153379.8311935128","-1153379.8311935128","-1153379.8311935128","-1249085.9424588778","-1249085.9424588778","-1249085.9424588778","-934213.2917696357","-934213.2917696357","-934213.2917696357","-762499.5095757543","-762499.5095757543","-762499.5095757543"
"143","-1152832.8297546115","-1152832.8297546115","-1152832.8297546115","-1248550.2817732666","-1248550.2817732666","-1248550.2817732666","-934150.7626509855","-934150.7626509855","-934150.7626509855","-762405.9819633723","-762405.9819633723","-762405.9819633723"
"144","-1152614.949072709","-1152614.949072709","-1152614.949072709","-1248531.736662889","-1248531.736662889","-1248531.736662889","-934048.0387781474","-934048.0387781474","-934048.0387781474","-762575.8207243686","-762575.8207243686","-762575.8207243686"
"145","-1152985.1445271615","-1152985.1445271615","-1152985.1445271615","-1247923.8186854327","-1247923.8186854327","-1247923.8186854327","-934174.7094971559","-934174.7094971559","-934174.7094971559","-762786.535232474","-762786.535232474","-762786.535232474"
"146","-1152450.6399102616","-1152450.6399102616","-1152450.6399102616","-1247399.3263961545","-1247399.3263961545","-1247399.3263961545","-933915.5980612906","-933915.5980612906","-933915.5980612906","-762874.1574851072","-762874.1574851072","-762874.1574851072"
"147","-1152278.737387044","-1152278.737387044","-1152278.737387044","-1247427.5818439252","-1247427.5818439252","-1247427.5818439252","-933743.9836946958","-933743.9836946958","-933743.9836946958","-763154.2146452826","-763154.2146452826","-763154.2146452826"
"148","-1151563.1472927728","-1151563.1472927728","-1151563.1472927728","-1246783.5118038803","-1246783.5118038803","-1246783.5118038803","-933912.114411761","-933912.114411761","-933912.114411761","-763124.6221972076","-763124.6221972076","-763124.6221972076"
"149","-1150811.080178342","-1150811.080178342","-1150811.080178342","-1246107.9514520862","-1246107.9514520862","-1246107.9514520862","-934431.9200134879","-934431.9200134879","-934431.9200134879","-762992.592437989","-762992.592437989","-762992.592437989"
"150","-1150373.0484220951","-1150373.0484220951","-1150373.0484220951","-1246175.2108430555","-1246175.2108430555","-1246175.2108430555","-934573.579572727","-934573.579572727","-934573.579572727","-763194.5313662987","-763194.5313662987","-763194.5313662987"
"151","-1149479.222586738","-1149479.222586738","-1149479.222586738","-1245582.2328157267","-1245582.2328157267","-1245582.2328157267","-934354.736750906","-934354.736750906","-934354.736750906","-762961.6972234948","-762961.6972234948","-762961.6972234948"
"152","-1149317.735016623","-1149317.735016623","-1149317.735016623","-1245143.2380381455","-1245143.2380381455","-1245143.2380381455","-934568.4058293162","-934568.4058293162","-934568.4058293162","-762875.2309626468","-762875.2309626468","-762875.2309626468"
"153","-1148886.9060344729","-1148886.9060344729","-1148886.9060344729","-1244673.4678353327","-1244673.4678353327","-1244673.4678353327","-934425.375118078","-934425.375118078","-934425.375118078","-762951.6495969027","-762951.6495969027","-762951.6495969027"
"154","-1148535.9932029347","-1148535.9932029347","-1148535.9932029347","-1244774.6079286283","-1244774.6079286283","-1244774.6079286283","-934701.6348505972","-934701.6348505972","-934701.6348505972","-762958.4301512133","-762958.4301512133","-762958.4301512133"
"155","-1148219.5942111136","-1148219.5942111136","-1148219.5942111136","-1244284.4616034194","-1244284.4616034194","-1244284.4616034194","-934584.6038697188","-934584.6038697188","-934584.6038697188","-762819.9818603613","-762819.9818603613","-762819.9818603613"
"156","-1147880.2219036939","-1147880.2219036939","-1147880.2219036939","-1243577.6645808867","-1243577.6645808867","-1243577.6645808867","-934700.9807647653","-934700.9807647653","-934700.9807647653","-762579.7958144234","-762579.7958144234","-762579.7958144234"
"157","-1147446.5102400924","-1147446.5102400924","-1147446.5102400924","-1243409.7160339744","-1243409.7160339744","-1243409.7160339744","-934706.6540306213","-934706.6540306213","-934706.6540306213","-762675.9628875793","-762675.9628875793","-762675.9628875793"
"158","-1146968.317189607","-1146968.317189607","-1146968.317189607","-1242650.1362977242","-1242650.1362977242","-1242650.1362977242","-934790.5084631372","-934790.5084631372","-934790.5084631372","-762513.3132022358","-762513.3132022358","-762513.3132022358"
"159","-1147113.1157395057","-1147113.1157395057","-1147113.1157395057","-1242719.4665884697","-1242719.4665884697","-1242719.4665884697","-934665.6407330133","-934665.6407330133","-934665.6407330133","-762915.6044132652","-762915.6044132652","-762915.6044132652"
"160","-1146685.538760461","-1146685.538760461","-1146685.538760461","-1242189.7123998052","-1242189.7123998052","-1242189.7123998052","-934625.5919599618","-934625.5919599618","-934625.5919599618","-762716.0274790456","-762716.0274790456","-762716.0274790456"
"161","-1146202.3987951858","-1146202.3987951858","-1146202.3987951858","-1241655.657397041","-1241655.657397041","-1241655.657397041","-934298.6967714046","-934298.6967714046","-934298.6967714046","-762695.4085796282","-762695.4085796282","-762695.4085796282"
"162","-1146026.0864092908","-1146026.0864092908","-1146026.0864092908","-1241474.8686870527","-1241474.8686870527","-1241474.8686870527","-934117.144764419","-934117.144764419","-934117.144764419","-762776.3755599429","-762776.3755599429","-762776.3755599429"
"163","-1145437.7526417545","-1145437.7526417545","-1145437.7526417545","-1240701.416360753","-1240701.416360753","-1240701.416360753","-934210.4955452139","-934210.4955452139","-934210.4955452139","-762554.3397951431","-762554.3397951431","-762554.3397951431"
"164","-1144961.1004476205","-1144961.1004476205","-1144961.1004476205","-1240175.5540841105","-1240175.5540841105","-1240175.5540841105","-933999.7966990521","-933999.7966990521","-933999.7966990521","-762243.7497996092","-762243.7497996092","-762243.7497996092"
"165","-1144866.3053532757","-1144866.3053532757","-1144866.3053532757","-1239909.8430255037","-1239909.8430255037","-1239909.8430255037","-933896.4402538842","-933896.4402538842","-933896.4402538842","-762449.6878046164","-762449.6878046164","-762449.6878046164"
"166","-1144405.2012091666","-1144405.2012091666","-1144405.2012091666","-1239676.907839716","-1239676.907839716","-1239676.907839716","-934038.0214560407","-934038.0214560407","-934038.0214560407","-762282.8506880458","-762282.8506880458","-762282.8506880458"
"167","-1144293.9199687373","-1144293.9199687373","-1144293.9199687373","-1239258.6286474913","-1239258.6286474913","-1239258.6286474913","-934072.889376365","-934072.889376365","-934072.889376365","-762364.8858207689","-762364.8858207689","-762364.8858207689"
"168","-1143980.1311248066","-1143980.1311248066","-1143980.1311248066","-1238695.348659454","-1238695.348659454","-1238695.348659454","-933894.5733600125","-933894.5733600125","-933894.5733600125","-762306.2798818179","-762306.2798818179","-762306.2798818179"
"169","-1143903.7194182905","-1143903.7194182905","-1143903.7194182905","-1238244.5194723764","-1238244.5194723764","-1238244.5194723764","-933829.0020924866","-933829.0020924866","-933829.0020924866","-762374.118736094","-762374.118736094","-762374.118736094"
"170","-1143360.2639624514","-1143360.2639624514","-1143360.2639624514","-1237385.4096434384","-1237385.4096434384","-1237385.4096434384","-933815.3225328218","-933815.3225328218","-933815.3225328218","-762263.269202217","-762263.269202217","-762263.269202217"
"171","-1143233.8020097956","-1143233.8020097956","-1143233.8020097956","-1236706.8406634997","-1236706.8406634997","-1236706.8406634997","-933858.8741653025","-933858.8741653025","-933858.8741653025","-762210.8093858919","-762210.8093858919","-762210.8093858919"
"172","-1142474.8496054779","-1142474.8496054779","-1142474.8496054779","-1236074.4314578385","-1236074.4314578385","-1236074.4314578385","-933637.4713681524","-933637.4713681524","-933637.4713681524","-761840.4643390363","-761840.4643390363","-761840.4643390363"
"173","-1142119.5173262272","-1142119.5173262272","-1142119.5173262272","-1235085.406263388","-1235085.406263388","-1235085.406263388","-933843.6621458262","-933843.6621458262","-933843.6621458262","-761575.9481977514","-761575.9481977514","-761575.9481977514"
"174","-1141849.5533434956","-1141849.5533434956","-1141849.5533434956","-1235022.5062465342","-1235022.5062465342","-1235022.5062465342","-933703.2972233173","-933703.2972233173","-933703.2972233173","-761526.1418785109","-761526.1418785109","-761526.1418785109"
"175","-1141715.5248102853","-1141715.5248102853","-1141715.5248102853","-1234598.3844908623","-1234598.3844908623","-1234598.3844908623","-933600.7102177729","-933600.7102177729","-933600.7102177729","-761349.9629263594","-761349.9629263594","-761349.9629263594"
"176","-1141340.0711042045","-1141340.0711042045","-1141340.0711042045","-1234509.8406860223","-1234509.8406860223","-1234509.8406860223","-933811.4754888535","-933811.4754888535","-933811.4754888535","-761389.756681666","-761389.756681666","-761389.756681666"
"177","-1140909.395100541","-1140909.395100541","-1140909.395100541","-1234271.0038602715","-1234271.0038602715","-1234271.0038602715","-933619.6173462305","-933619.6173462305","-933619.6173462305","-761620.5570193683","-761620.5570193683","-761620.5570193683"
"178","-1140273.072696796","-1140273.072696796","-1140273.072696796","-1233784.7566245962","-1233784.7566245962","-1233784.7566245962","-933687.7014444292","-933687.7014444292","-933687.7014444292","-761420.8561779408","-761420.8561779408","-761420.8561779408"
"179","-1139720.9263897224","-1139720.9263897224","-1139720.9263897224","-1233316.1862804405","-1233316.1862804405","-1233316.1862804405","-933652.5807727355","-933652.5807727355","-933652.5807727355","-761266.0009343419","-761266.0009343419","-761266.0009343419"
"180","-1139549.567342101","-1139549.567342101","-1139549.567342101","-1233590.9699919203","-1233590.9699919203","-1233590.9699919203","-933615.9536859242","-933615.9536859242","-933615.9536859242","-761610.2812156058","-761610.2812156058","-761610.2812156058"
"181","-1139386.7499906116","-1139386.7499906116","-1139386.7499906116","-1233475.0866344022","-1233475.0866344022","-1233475.0866344022","-933538.8121674705","-933538.8121674705","-933538.8121674705","-761667.63533749","-761667.63533749","-761667.63533749"
"182","-1139117.3612068724","-1139117.3612068724","-1139117.3612068724","-1233355.1094612658","-1233355.1094612658","-1233355.1094612658","-933413.0002100378","-933413.0002100378","-933413.0002100378","-761695.2857496726","-761695.2857496726","-761695.2857496726"
"183","-1138747.9761338315","-1138747.9761338315","-1138747.9761338315","-1233062.481983311","-1233062.481983311","-1233062.481983311","-933170.1495276685","-933170.1495276685","-933170.1495276685","-761713.8341351955","-761713.8341351955","-761713.8341351955"
"184","-1138461.3424282323","-1138461.3424282323","-1138461.3424282323","-1232695.750054445","-1232695.750054445","-1232695.750054445","-933183.524403201","-933183.524403201","-933183.524403201","-761817.0225279597","-761817.0225279597","-761817.0225279597"
"185","-1138026.5668243682","-1138026.5668243682","-1138026.5668243682","-1232021.431908148","-1232021.431908148","-1232021.431908148","-933201.1020000709","-933201.1020000709","-933201.1020000709","-761675.5591228404","-761675.5591228404","-761675.5591228404"
"186","-1137564.5770957498","-1137564.5770957498","-1137564.5770957498","-1231261.7555582516","-1231261.7555582516","-1231261.7555582516","-933379.30271154","-933379.30271154","-933379.30271154","-761489.1639990112","-761489.1639990112","-761489.1639990112"
"187","-1137224.579400262","-1137224.579400262","-1137224.579400262","-1230754.7171901667","-1230754.7171901667","-1230754.7171901667","-933518.5359877014","-933518.5359877014","-933518.5359877014","-761463.3329699946","-761463.3329699946","-761463.3329699946"
"188","-1136757.3773021593","-1136757.3773021593","-1136757.3773021593","-1230084.268037076","-1230084.268037076","-1230084.268037076","-933235.2531109314","-933235.2531109314","-933235.2531109314","-761313.557104077","-761313.557104077","-761313.557104077"
"189","-1136853.5954676038","-1136853.5954676038","-1136853.5954676038","-1230189.2166322842","-1230189.2166322842","-1230189.2166322842","-933122.8761736818","-933122.8761736818","-933122.8761736818","-761393.7994787589","-761393.7994787589","-761393.7994787589"
"190","-1136271.2607217727","-1136271.2607217727","-1136271.2607217727","-1229559.9718162164","-1229559.9718162164","-1229559.9718162164","-932889.2961707471","-932889.2961707471","-932889.2961707471","-761186.9241596874","-761186.9241596874","-761186.9241596874"
"191","-1136039.6573351405","-1136039.6573351405","-1136039.6573351405","-1229392.3566910636","-1229392.3566910636","-1229392.3566910636","-932999.4457395739","-932999.4457395739","-932999.4457395739","-761244.5465092884","-761244.5465092884","-761244.5465092884"
"192","-1135642.83526499","-1135642.83526499","-1135642.83526499","-1229173.5484241245","-1229173.5484241245","-1229173.5484241245","-932762.3917243078","-932762.3917243078","-932762.3917243078","-761213.8223079976","-761213.8223079976","-761213.8223079976"
"193","-1135491.6324690871","-1135491.6324690871","-1135491.6324690871","-1229077.7804058995","-1229077.7804058995","-1229077.7804058995","-932673.3492195242","-932673.3492195242","-932673.3492195242","","",""
"194","-1135052.1196818019","-1135052.1196818019","-1135052.1196818019","","","","-932572.1137261948","-932572.1137261948","-932572.1137261948","","",""